max,min,mean,median,var,totalvar,auc,Xmax,Xmin,Xmean,Xmedian,Xvar,Xtotalvar,Xauc,Ymax,Ymin,Ymean,Ymedian,Yvar,Ytotalvar,Yauc,condition,subject,gesture
60,0,16.3875,9.5,296.3922468,68,1311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,flat,P10,constant
118,60,98.5875,103,335.7643987,68,7887,3.784482759,3.564516129,3.733141822,3.745454545,0.002429478632,0.5212489318,298.6513458,4.7,4.044642857,4.257379311,4.227448338,0.03848547418,0.893667276,340.5903449,flat,P10,constant
293,58,120.1625,98,3330.54288,305,9613,3.855670103,3.305418719,3.664088385,3.768236074,0.03856731703,0.8911525764,293.1270708,4.172413793,2.102389078,3.58496847,3.868456078,0.4277070062,2.817841494,286.7974776,flat,P10,constant
397,299,376.8125,385,566.2049051,126,30145,3.477806789,3.35451505,3.447697483,3.45959596,0.001026736318,0.2151525914,275.8157986,2.066889632,1.535248042,1.633298547,1.586309083,0.01532647589,0.6055137448,130.6638837,flat,P10,constant
205,7,107.3,106.5,5305.453165,343,8584,4.688,1.923076923,3.299399332,3.102235224,0.9863504133,4.516275011,263.9519465,3.142857143,1.25,2.303808072,2.367912371,0.3548207424,4.369212263,184.3046458,flat,P10,drag
266,63,166.725,178.5,4101.113291,515,13338,4.740963855,3.488372093,4.059387524,3.9808418,0.1944685628,4.304218861,324.7510019,3.61752988,2.920634921,3.24882906,3.295331037,0.04352331063,1.99273934,259.9063248,flat,P10,drag
309,83,205.55,217.5,4898.250633,581,16444,5,2.990430622,4.180248337,4.448499392,0.4118984801,4.075564074,334.4198669,4.118110236,2.77734375,3.542720396,3.712237184,0.1643312357,2.726574435,283.4176317,flat,P10,drag
229,46,124.8875,101.5,4144.936551,453,9991,5.106060606,2.92173913,4.119176601,4.330261137,0.4867205014,5.901283796,329.5341281,4.205479452,2.673267327,3.47016663,3.613953488,0.2277232721,3.262439215,277.6133304,flat,P10,drag
464,31,290.4875,302,17387.13908,635,23239,4.537777778,3.8125,4.324855487,4.355882652,0.02570374242,1.672008492,345.988439,4.25203252,3.75,4.116306166,4.14834469,0.01003930691,1.402165376,329.3044933,flat,P10,fist
387,277,336.3375,341.5,1115.416297,300,26907,4.386524823,3.525641026,3.973139976,4.014745308,0.04759157238,2.176451545,317.8511981,4.04964539,3.632450331,3.853370293,3.871905584,0.02203841666,1.14381729,308.2696235,flat,P10,fist
