max,min,mean,median,var,totalvar,auc,Xmax,Xmin,Xmean,Xmedian,Xvar,Xtotalvar,Xauc,Ymax,Ymin,Ymean,Ymedian,Yvar,Ytotalvar,Yauc,condition,subject,gesture
218,30,108.925,100,2525.994304,741,8714,4.815789474,3.78440367,4.189307581,4.13999749,0.05332244589,3.891854271,335.1446065,4.772727273,3.263157895,4.266924207,4.324728261,0.1339478629,4.122071797,341.3539365,pillow,P1,constant
256,37,128.275,110.5,4395.898101,669,10262,3.910714286,3.295081967,3.652621469,3.669148348,0.02395969971,3.189580648,292.2097175,5.186046512,4.591111111,4.812136968,4.81029671,0.01190298504,3.472779655,384.9709574,pillow,P1,constant
206,86,151.825,153.5,812.728481,713,12146,3.833333333,3.546511628,3.732991902,3.740918663,0.00279314487,2.059786418,298.6393522,5.122137405,4.682539683,4.912116391,4.913001564,0.01208531013,2.202141982,392.9693113,pillow,P1,constant
248,48,155.5125,161.5,2656.379589,776,12441,3.782426778,2.541666667,3.526882573,3.573394046,0.04929902579,3.612003205,282.1506059,4.790697674,4.296296296,4.532335069,4.516384665,0.01284392859,2.579288553,362.5868055,pillow,P1,constant
82,1,36.4375,36,505.5150316,655,2915,4.266666667,2.285714286,3.443514386,3.43202765,0.1926824254,10.27046334,275.4811508,4.577777778,2.214285714,3.895952506,4,0.2854079848,9.616423012,311.6762005,pillow,P1,no
230,5,111.4,100,5105.483544,744,8912,4,2.674698795,3.343955702,3.413242009,0.09765390304,6.633234636,267.5164562,4,3.037037037,3.627324987,3.668439716,0.05052820604,6.945427296,290.185999,pillow,P1,scratch
288,25,205.1375,228,5346.702373,624,16411,3.704626335,2.830508475,3.353500653,3.345120614,0.03658287279,2.540750262,268.2800522,3.880434783,2.8,3.51010301,3.55134196,0.0362283526,3.626437757,280.8082408,pillow,P1,scratch
281,8,141.8125,107.5,8047.065665,715,11345,4.484848485,2.859649123,3.553022758,3.46412373,0.1741877907,7.208030125,284.2418207,4.571428571,3.157894737,3.865053726,3.829039234,0.05275954282,5.525661781,309.2042981,pillow,P1,scratch
264,51,175.3125,187.5,3546.090981,793,14025,4.568627451,3.230125523,3.663895622,3.595964126,0.1108696119,4.996650333,293.1116497,4,2.939393939,3.587139334,3.666496344,0.05521602272,4.029634337,286.9711468,pillow,P1,scratch
98,6,54.4875,51.5,751.9998418,574,4359,2.643835616,1.52173913,2.300734788,2.333333333,0.05151903338,8.134665676,184.0587831,5.466666667,3,4.136375355,4.217218137,0.1776684612,11.59895453,330.9100284,pillow,P1,slide
140,8,82.4125,89.5,1140.473259,453,6593,2.745283019,1,2.366640743,2.433607521,0.1108824916,5.466044739,189.3312594,4.606382979,2.25,4.085370056,4.234440753,0.1806361664,7.498235674,326.8296045,pillow,P1,slide
118,60,98.5875,103,335.7643987,68,7887,3.784482759,3.564516129,3.733141822,3.745454545,0.002429478632,0.5212489318,298.6513458,4.7,4.044642857,4.257379311,4.227448338,0.03848547418,0.893667276,340.5903449,flat,P10,constant
293,58,120.1625,98,3330.54288,305,9613,3.855670103,3.305418719,3.664088385,3.768236074,0.03856731703,0.8911525764,293.1270708,4.172413793,2.102389078,3.58496847,3.868456078,0.4277070062,2.817841494,286.7974776,flat,P10,constant
397,299,376.8125,385,566.2049051,126,30145,3.477806789,3.35451505,3.447697483,3.45959596,0.001026736318,0.2151525914,275.8157986,2.066889632,1.535248042,1.633298547,1.586309083,0.01532647589,0.6055137448,130.6638837,flat,P10,constant
345,174,249.1,236,2012.875949,307,19928,3.534482759,3.21574344,3.358006968,3.370199364,0.004539136141,1.031099038,268.6405575,5.643678161,5.042372881,5.337212149,5.349225697,0.02118234744,1.749089365,426.9769719,pillow,P10,constant
235,199,209.95,208,66.68101266,168,16796,3.497536946,3.317307692,3.394601275,3.391106719,0.002148093247,1.00975763,271.568102,5.280788177,5,5.145744904,5.136765889,0.005578048609,1.690122711,411.6595923,pillow,P10,constant
197,144,175.3875,178,133.5061709,165,14031,3.507772021,3.341040462,3.425066672,3.425347553,0.001875827563,1.051023776,274.0053338,5.291666667,4.95,5.152857071,5.169983949,0.007218059147,2.218171368,412.2285657,pillow,P10,constant
97,1,43.05,43,535.8708861,299,3444,6,2.333333333,3.630989269,3.618034448,0.2272176704,14.1292389,290.4791415,5,1,3.130285986,3.203703704,0.2420671286,14.86161989,250.4228789,pillow,P10,no
119,2,58.4375,68.5,1061.590981,246,4675,4.195121951,2.6,3.534290042,3.569301602,0.09228479947,7.610836906,282.7432034,5.666666667,2.842696629,3.623462775,3.534980431,0.4005121659,10.09871076,289.877022,pillow,P10,no
59,4,22.3625,14.5,273.0188291,173,1789,5.428571429,2.181818182,3.659639785,3.666666667,0.5342113958,11.86478088,292.7711828,3.5,1.75,2.761143174,2.8640553,0.178816893,11.14468455,220.8914539,pillow,P10,no
188,74,123.825,120.5,1118.01962,539,9906,4.194805195,3.587412587,3.854514455,3.774024024,0.03618584701,2.22910107,308.3611564,3.4625,2.362416107,2.964821818,2.970569584,0.08243368968,2.639802317,237.1857454,flat,P10,pat
163,40,88.4375,80,1172.578323,469,7075,4.352941176,3.6,3.973577068,3.996621622,0.03527138611,2.518301479,317.8861654,3.103448276,2.41509434,2.8134696,2.856372549,0.02877533617,2.393220677,225.077568,flat,P10,pat
81,20,46.5625,45,403.5150316,179,3725,5.25,4.166666667,4.559639307,4.431313131,0.1130840168,3.134073769,364.7711446,3.454545455,2.555555556,3.032783752,3.033986175,0.02055966092,3.145247875,242.6227002,flat,P10,pat
425,29,230.75,224.5,12087.86076,792,18460,4.242424242,2.803278689,3.539864697,3.568075713,0.08885212162,3.685432136,283.1891757,5.212121212,3.573770492,4.377674338,4.272277363,0.2072777998,3.892084868,350.213947,pillow,P10,pat
555,276,380.2375,362.5,6199.398576,765,30419,3.760989011,3.192028986,3.553831799,3.580978768,0.02367468329,1.687300239,284.3065439,4.434666667,3.910828025,4.164815589,4.186837407,0.01832852671,1.987010916,333.1852472,pillow,P10,pat
366,95,230.65,224,4890.053165,742,18452,3.986486486,3.052419355,3.508515953,3.522130826,0.06501578018,3.113694466,280.6812762,4.379310345,3.614285714,4.070012447,4.056647495,0.03682479264,3.92268927,325.6009958,pillow,P10,pat
255,26,147.9875,184.5,4868.974525,729,11839,3.833333333,3.025773196,3.422247118,3.442074803,0.04478092113,3.011320896,273.7797695,4.776119403,3.91011236,4.418966404,4.447332731,0.0590356715,4.012716153,353.5173123,pillow,P10,pat
297,60,144.9375,115.5,5481.704905,388,11595,2.97260274,1.887850467,2.423454596,2.378679563,0.08628055138,3.5044612,193.8763677,3.042857143,1.885714286,2.428254731,2.193390259,0.2104357321,2.146010834,194.2603785,flat,P10,rub
288,204,244.45,244.5,352.9848101,288,19556,3.099056604,2.295454545,2.704827312,2.706796918,0.04524053063,2.867507858,216.386185,2.910780669,2.564593301,2.722090084,2.700355644,0.009720326577,0.7991465345,217.7672067,flat,P10,rub
304,217,267.1125,271,614.3289557,226,21369,3.01369863,2.411764706,2.695655328,2.696189938,0.02897300705,2.819591289,215.6524263,3.12992126,2.599078341,2.929654092,2.979462545,0.02357410229,1.120287107,234.3723273,flat,P10,rub
