max,min,mean,median,var,totalvar,auc,Xmax,Xmin,Xmean,Xmedian,Xvar,Xtotalvar,Xauc,Ymax,Ymin,Ymean,Ymedian,Yvar,Ytotalvar,Yauc,condition,subject,gesture
218,30,108.925,100,2525.994304,741,8714,4.815789474,3.78440367,4.189307581,4.13999749,0.05332244589,3.891854271,335.1446065,4.772727273,3.263157895,4.266924207,4.324728261,0.1339478629,4.122071797,341.3539365,pillow,P1,constant
256,37,128.275,110.5,4395.898101,669,10262,3.910714286,3.295081967,3.652621469,3.669148348,0.02395969971,3.189580648,292.2097175,5.186046512,4.591111111,4.812136968,4.81029671,0.01190298504,3.472779655,384.9709574,pillow,P1,constant
206,86,151.825,153.5,812.728481,713,12146,3.833333333,3.546511628,3.732991902,3.740918663,0.00279314487,2.059786418,298.6393522,5.122137405,4.682539683,4.912116391,4.913001564,0.01208531013,2.202141982,392.9693113,pillow,P1,constant
248,48,155.5125,161.5,2656.379589,776,12441,3.782426778,2.541666667,3.526882573,3.573394046,0.04929902579,3.612003205,282.1506059,4.790697674,4.296296296,4.532335069,4.516384665,0.01284392859,2.579288553,362.5868055,pillow,P1,constant
142,3,88.3125,99,1341.230222,602,7065,5.203703704,3.185185185,3.847839444,3.637810184,0.2068613039,8.401978885,307.8271555,4.008695652,2,3.48758874,3.634586123,0.2022813289,6.882137674,279.0070992,pillow,P1,drag
111,5,46.475,41.5,881.6196203,509,3718,4.857142857,2,3.380837769,3.520300752,0.2958578575,10.32800895,270.4670216,3.861111111,1.5,2.737146779,2.850254147,0.4630153308,13.93864242,218.9717423,pillow,P1,drag
173,20,80.2125,58.5,2377.131487,458,6417,4.59375,2.926470588,3.590615731,3.508685235,0.224242196,7.511542145,287.2492585,3.639240506,1,2.416122492,2.319786535,0.6680414501,10.46131628,193.2897993,pillow,P1,drag
740,157,486.775,453,29856.05,1093,38942,4.170454545,3.70877193,3.949344504,3.953401425,0.01942982372,1.783439778,315.9475603,3.905737705,3.40821256,3.693343081,3.716687521,0.01772376843,1.921148228,295.4674465,pillow,P1,fist
646,180,399.275,382.5,16365.01203,1013,31942,4.472148541,3.722402597,4.090956762,4.041960094,0.04741187636,2.40676353,327.276541,3.925925926,2.8475,3.324222472,3.33936993,0.09931859012,3.623247422,265.9377977,pillow,P1,fist
621,139,420.5125,423,12949.39225,831,33641,4.219354839,3.707119741,3.944408262,3.92639377,0.01694700627,1.920626962,315.552661,4.052478134,3.126953125,3.759810438,3.892471737,0.09690904727,1.601722207,300.784835,pillow,P1,fist
159,74,112.5625,109,420.3504747,353,9005,3.892086331,2.817307692,3.421480286,3.437547477,0.0851759288,3.595696673,273.7184228,4.046728972,3.314516129,3.724424105,3.724313863,0.03888821104,2.965882458,297.9539284,pillow,P1,fist
137,4,65.275,63,1573.746203,577,5222,6,3.75,4.939111238,4.933275058,0.1629885079,11.51057064,395.1288991,4.952380952,3.5,4.187366546,4.163333333,0.1293431381,5.61228365,334.9893237,pillow,P1,karate
206,19,101.3625,91,2607.120095,803,8109,5.506493506,4.005988024,4.91021381,4.98,0.1156358616,8.647127463,392.8171048,4.907692308,3.206896552,4.46259886,4.600171057,0.1771651156,5.182596776,357.0079088,pillow,P1,karate
207,16,97.375,89,3551.781646,615,7790,6,3.771812081,5.044189611,5.1725,0.4092171242,6.653610631,403.5351689,5,3.90625,4.520073803,4.391666667,0.1927545457,4.10005724,361.6059043,pillow,P1,karate
208,15,112.1125,133,2932.22769,831,8969,5.215686275,3.881987578,4.466742477,4.415384615,0.1217933999,7.291195405,357.3393981,5.271186441,3.880952381,4.743212965,4.741977226,0.1496888685,5.636448633,379.4570372,pillow,P1,karate
970,556,742.2625,712.5,16233.71503,1332,59381,4.995341615,3.248772504,4.428388057,4.472768078,0.1726100931,3.638510766,354.2710446,5.09492635,3.486251809,4.019848195,3.98166799,0.1697304328,3.684239956,321.5878556,pillow,P1,knead
1207,863,1058.3625,1081,8014.613766,985,84669,4.641527002,4.001839926,4.336592432,4.31643404,0.03392077903,1.957948742,346.9273946,4.568245125,3.71064204,4.16138399,4.192383358,0.06562113462,2.580317272,332.9107192,pillow,P1,knead
1369,955,1097.075,1088.5,8174.931013,1571,87766,4.666666667,3.915997078,4.355081857,4.347971621,0.03949221231,2.357991972,348.4065486,4.339441536,3.229458918,3.918097371,4.016225106,0.1026452842,3.288402899,313.4477897,pillow,P1,knead
1466,913,1116.7875,1061,29788.0682,1083,89343,5.097480832,3.902489627,4.634614021,4.714733894,0.114204376,2.548232319,370.7691217,4.185467128,2.170168067,3.277917232,3.264199598,0.3359051327,3.531058995,262.2333786,pillow,P1,knead
528,356,440.875,441.5,2076.89557,709,35270,4.721910112,3.79223301,4.175839319,4.152212472,0.05063176351,2.45708221,334.0671455,2.813592233,1.974719101,2.493475416,2.497175506,0.04324361353,2.338472223,199.4780333,pillow,P1,massage
534,224,364.2625,342,9987.385918,542,29141,3.791353383,2.408921933,3.189396689,3.207296137,0.1464640567,3.69500608,255.1517351,3.171091445,2.477642276,2.848444525,2.914597162,0.05346690718,2.450156727,227.875562,pillow,P1,massage
575,260,437.9875,445,9715.22769,692,35039,4.134517766,2.975285171,3.483755853,3.462376846,0.08733349654,2.912379204,278.7004683,3.442965779,2.296296296,2.784533248,2.802527264,0.07668973376,2.630272996,222.7626599,pillow,P1,massage
512,302,352.175,336,2676.222152,639,28174,4.161993769,2.906374502,3.385110915,3.28258317,0.1137234846,3.163700289,270.8088732,3.514851485,2.408099688,2.772444069,2.751876877,0.08286384204,2.459825312,221.7955255,pillow,P1,massage
82,1,36.4375,36,505.5150316,655,2915,4.266666667,2.285714286,3.443514386,3.43202765,0.1926824254,10.27046334,275.4811508,4.577777778,2.214285714,3.895952506,4,0.2854079848,9.616423012,311.6762005,pillow,P1,no
223,12,112.3875,111.5,3530.746677,572,8991,3.775147929,2.378378378,3.304740993,3.380784314,0.1034805019,4.927105453,264.3792795,4.341463415,2.789473684,3.703959498,3.696736597,0.08633340321,4.844188835,296.3167599,pillow,P1,pinch
298,5,121.8625,80.5,9938.955538,624,9749,4.561403509,3.089494163,3.607455756,3.598122066,0.116995108,5.583556134,288.5964605,4.666666667,3.648760331,3.994882628,4,0.06557285836,3.667501493,319.5906102,pillow,P1,pinch
299,44,154.85,140.5,5038.989873,591,12388,4.526315789,3.714285714,4.213502104,4.169410916,0.03419630716,3.859264061,337.0801683,4.032608696,3.6875,3.913649085,3.927045606,0.00632764446,1.594802698,313.0919268,pillow,P1,pinch
300,31,172.225,159.5,4764.48038,859,13778,3.71559633,2.767123288,3.385426831,3.384270037,0.04542375506,3.771495534,270.8341465,4.41322314,3.083333333,3.794273669,3.870483267,0.1046990505,4.094561053,303.5418935,pillow,P1,poke
291,102,182.2125,183.5,2655.941614,724,14577,3.841269841,2.978494624,3.439271131,3.482436399,0.05363342374,3.210837749,275.1416905,3.754237288,3.167381974,3.480838411,3.49852071,0.02260405846,3.002944212,278.4670729,pillow,P1,poke
302,30,155.7,137,5965.529114,867,12456,3.720430108,2.989473684,3.28786965,3.215170501,0.02480670774,3.551316009,263.029572,4.136645963,3.202247191,3.78861064,3.889321444,0.06837782293,4.068420299,303.0888512,pillow,P1,poke
