max,min,mean,median,var,totalvar,auc,Xmax,Xmin,Xmean,Xmedian,Xvar,Xtotalvar,Xauc,Ymax,Ymin,Ymean,Ymedian,Yvar,Ytotalvar,Yauc,condition,subject,gesture
218,30,108.925,100,2525.994304,741,8714,4.815789474,3.78440367,4.189307581,4.13999749,0.05332244589,3.891854271,335.1446065,4.772727273,3.263157895,4.266924207,4.324728261,0.1339478629,4.122071797,341.3539365,pillow,P1,constant
256,37,128.275,110.5,4395.898101,669,10262,3.910714286,3.295081967,3.652621469,3.669148348,0.02395969971,3.189580648,292.2097175,5.186046512,4.591111111,4.812136968,4.81029671,0.01190298504,3.472779655,384.9709574,pillow,P1,constant
206,86,151.825,153.5,812.728481,713,12146,3.833333333,3.546511628,3.732991902,3.740918663,0.00279314487,2.059786418,298.6393522,5.122137405,4.682539683,4.912116391,4.913001564,0.01208531013,2.202141982,392.9693113,pillow,P1,constant
248,48,155.5125,161.5,2656.379589,776,12441,3.782426778,2.541666667,3.526882573,3.573394046,0.04929902579,3.612003205,282.1506059,4.790697674,4.296296296,4.532335069,4.516384665,0.01284392859,2.579288553,362.5868055,pillow,P1,constant
82,1,36.4375,36,505.5150316,655,2915,4.266666667,2.285714286,3.443514386,3.43202765,0.1926824254,10.27046334,275.4811508,4.577777778,2.214285714,3.895952506,4,0.2854079848,9.616423012,311.6762005,pillow,P1,no
230,5,111.4,100,5105.483544,744,8912,4,2.674698795,3.343955702,3.413242009,0.09765390304,6.633234636,267.5164562,4,3.037037037,3.627324987,3.668439716,0.05052820604,6.945427296,290.185999,pillow,P1,scratch
288,25,205.1375,228,5346.702373,624,16411,3.704626335,2.830508475,3.353500653,3.345120614,0.03658287279,2.540750262,268.2800522,3.880434783,2.8,3.51010301,3.55134196,0.0362283526,3.626437757,280.8082408,pillow,P1,scratch
281,8,141.8125,107.5,8047.065665,715,11345,4.484848485,2.859649123,3.553022758,3.46412373,0.1741877907,7.208030125,284.2418207,4.571428571,3.157894737,3.865053726,3.829039234,0.05275954282,5.525661781,309.2042981,pillow,P1,scratch
264,51,175.3125,187.5,3546.090981,793,14025,4.568627451,3.230125523,3.663895622,3.595964126,0.1108696119,4.996650333,293.1116497,4,2.939393939,3.587139334,3.666496344,0.05521602272,4.029634337,286.9711468,pillow,P1,scratch
98,6,54.4875,51.5,751.9998418,574,4359,2.643835616,1.52173913,2.300734788,2.333333333,0.05151903338,8.134665676,184.0587831,5.466666667,3,4.136375355,4.217218137,0.1776684612,11.59895453,330.9100284,pillow,P1,slide
140,8,82.4125,89.5,1140.473259,453,6593,2.745283019,1,2.366640743,2.433607521,0.1108824916,5.466044739,189.3312594,4.606382979,2.25,4.085370056,4.234440753,0.1806361664,7.498235674,326.8296045,pillow,P1,slide
345,174,249.1,236,2012.875949,307,19928,3.534482759,3.21574344,3.358006968,3.370199364,0.004539136141,1.031099038,268.6405575,5.643678161,5.042372881,5.337212149,5.349225697,0.02118234744,1.749089365,426.9769719,pillow,P10,constant
235,199,209.95,208,66.68101266,168,16796,3.497536946,3.317307692,3.394601275,3.391106719,0.002148093247,1.00975763,271.568102,5.280788177,5,5.145744904,5.136765889,0.005578048609,1.690122711,411.6595923,pillow,P10,constant
197,144,175.3875,178,133.5061709,165,14031,3.507772021,3.341040462,3.425066672,3.425347553,0.001875827563,1.051023776,274.0053338,5.291666667,4.95,5.152857071,5.169983949,0.007218059147,2.218171368,412.2285657,pillow,P10,constant
97,1,43.05,43,535.8708861,299,3444,6,2.333333333,3.630989269,3.618034448,0.2272176704,14.1292389,290.4791415,5,1,3.130285986,3.203703704,0.2420671286,14.86161989,250.4228789,pillow,P10,no
119,2,58.4375,68.5,1061.590981,246,4675,4.195121951,2.6,3.534290042,3.569301602,0.09228479947,7.610836906,282.7432034,5.666666667,2.842696629,3.623462775,3.534980431,0.4005121659,10.09871076,289.877022,pillow,P10,no
59,4,22.3625,14.5,273.0188291,173,1789,5.428571429,2.181818182,3.659639785,3.666666667,0.5342113958,11.86478088,292.7711828,3.5,1.75,2.761143174,2.8640553,0.178816893,11.14468455,220.8914539,pillow,P10,no
425,29,230.75,224.5,12087.86076,792,18460,4.242424242,2.803278689,3.539864697,3.568075713,0.08885212162,3.685432136,283.1891757,5.212121212,3.573770492,4.377674338,4.272277363,0.2072777998,3.892084868,350.213947,pillow,P10,pat
555,276,380.2375,362.5,6199.398576,765,30419,3.760989011,3.192028986,3.553831799,3.580978768,0.02367468329,1.687300239,284.3065439,4.434666667,3.910828025,4.164815589,4.186837407,0.01832852671,1.987010916,333.1852472,pillow,P10,pat
366,95,230.65,224,4890.053165,742,18452,3.986486486,3.052419355,3.508515953,3.522130826,0.06501578018,3.113694466,280.6812762,4.379310345,3.614285714,4.070012447,4.056647495,0.03682479264,3.92268927,325.6009958,pillow,P10,pat
255,26,147.9875,184.5,4868.974525,729,11839,3.833333333,3.025773196,3.422247118,3.442074803,0.04478092113,3.011320896,273.7797695,4.776119403,3.91011236,4.418966404,4.447332731,0.0590356715,4.012716153,353.5173123,pillow,P10,pat
206,68,147.6875,146,990.3188291,429,11815,3.842105263,3.368421053,3.637519033,3.64956432,0.01969790313,2.471101549,291.0015227,3.564885496,2.456521739,3.047147028,2.967406092,0.1012956493,3.813858175,243.7717623,pillow,P10,rub
255,74,171.4375,181.5,1452.071994,436,13715,4.37962963,3.313131313,3.769804673,3.800974307,0.05952754002,3.101416952,301.5843738,3.290697674,2.587912088,2.937005458,2.913220919,0.04348644216,3.430477483,234.9604366,pillow,P10,rub
302,209,254.6,252,385.2050633,365,20368,3.988047809,3.43220339,3.706822905,3.664705882,0.03096106931,1.79054774,296.5458324,3.459677419,2.453389831,2.928283955,2.894775762,0.06933347414,2.963550276,234.2627164,pillow,P10,rub
223,155,184.85,188,338.6860759,330,14788,3.956756757,3.386243386,3.717884705,3.758291237,0.02275381186,2.210227798,297.4307764,3.331210191,2.684782609,3.066663407,3.086961641,0.02287178728,3.037980648,245.3330726,pillow,P10,rub
221,4,133.1875,156.5,3808.609968,492,10655,5,1.8,3.31738127,3.331122337,0.2128976958,6.636205077,265.3905016,3.739130435,1.75,3.424088244,3.563892312,0.1661827943,5.605106507,273.9270595,pillow,P10,scratch
237,26,133.725,137.5,3536.379114,666,10698,3.965517241,3.1,3.472795689,3.491106491,0.02714766043,3.528812723,277.8236552,3.678082192,2.176470588,3.213737976,3.232761438,0.08691369119,6.191363305,257.0990381,pillow,P10,scratch
257,66,183.0625,205.5,3163.704905,546,14645,4.549295775,3.468899522,3.832830607,3.674402367,0.09908795241,2.93372403,306.6264485,3.568181818,2.363636364,3.074082291,3.071594069,0.1041754406,3.202026792,245.9265833,pillow,P10,scratch
228,139,176.15,176,301.6987342,327,14092,3.8,3.124223602,3.463897282,3.432020142,0.03024966166,2.497162826,277.1117825,3.535911602,2.903030303,3.184826565,3.163742884,0.02251279215,3.491435361,254.7861252,pillow,P10,scratch
123,16,59.0875,54,1175.093513,299,4727,4.333333333,2.14893617,3.13349266,3.100504626,0.1681341107,7.738922417,250.6794128,5.5,3,4.043150139,4.008695652,0.1889256969,9.606870523,323.4520111,pillow,P10,slide
102,20,63.3125,65,509.9390823,301,5065,4,2,2.985952615,3.124123422,0.3533966293,6.046702172,238.8762092,5.481012658,3.227272727,4.408296799,4.162492094,0.4686229786,6.187162786,352.6637439,pillow,P10,slide
