maxXshear,minXshear,meanXshear,medianXshear,varXshear,totalvarXshear,aucXshear,XmaxXshear,XminXshear,XmeanXshear,XmedianXshear,XvarXshear,XtotalvarXshear,XaucXshear,YmaxXshear,YminXshear,YmeanXshear,YmedianXshear,YvarXshear,YtotalvarXshear,YaucXshear,maxPress,minPress,meanPress,medianPress,varPress,totalvarPress,aucPress,XmaxPress,XminPress,XmeanPress,XmedianPress,XvarPress,XtotalvarPress,XaucPress,YmaxPress,YminPress,YmeanPress,YmedianPress,YvarPress,YtotalvarPress,YaucPress,maxYshear,minYshear,meanYshear,medianYshear,varYshear,totalvarYshear,aucYshear,XmaxYshear,XminYshear,XmeanYshear,XmedianYshear,XvarYshear,XtotalvarYshear,XaucYshear,YmaxYshear,YminYshear,YmeanYshear,YmedianYshear,YvarYshear,YtotalvarYshear,YaucYshear,subcondition,glovecondition,subject,filecount,gesture
4638,4629,4635.5875,4636,4.017563291,37,370847,3.505067932,3.503455724,3.504609603,3.504852275,1.68E-07,0.01110869704,280.3687682,3.507011866,3.502484338,3.505372656,3.505877272,1.47E-06,0.01198261864,280.4298125,415,398,409.725,410,9.138607595,63,32778,3.968523002,3.934306569,3.950293588,3.951159878,4.86E-05,0.2625985547,316.023487,3.783454988,3.70074813,3.745250239,3.754257908,0.0008249304234,0.2165935194,299.6200191,4638,4629,4635.5875,4636,4.017563291,37,370847,3.505067932,3.503455724,3.504609603,3.504852275,1.68E-07,0.01110869704,280.3687682,3.507011866,3.502484338,3.505372656,3.505877272,1.47E-06,0.01198261864,280.4298125,flat,notgloved,LC,1,constant
4637,4630,4633.075,4634,3.589240506,37,370646,3.507230736,3.504422869,3.505968169,3.506042296,5.89E-07,0.0119749817,280.4774535,3.506151522,3.502698036,3.504726707,3.505073403,8.70E-07,0.01284577552,280.3781365,426,407,416.0375,416,25.17579114,60,33283,3.963768116,3.918269231,3.943860375,3.946731235,0.000200295248,0.2587168343,315.50883,3.816425121,3.754854369,3.785615651,3.788784461,0.0002932448833,0.2025224816,302.8492521,4637,4630,4633.075,4634,3.589240506,37,370646,3.507230736,3.504422869,3.505968169,3.506042296,5.89E-07,0.0119749817,280.4774535,3.506151522,3.502698036,3.504726707,3.505073403,8.70E-07,0.01284577552,280.3781365,flat,notgloved,LC,1,constant
4633,4627,4630.1875,4630,2.711234177,35,370415,3.50702399,3.50475162,3.506016216,3.505940808,2.62E-07,0.01026466279,280.4812973,3.505940808,3.503347009,3.504442443,3.504428602,3.85E-07,0.01199107446,280.3553954,461,405,437.2625,443.5,369.1327532,119,34981,3.990291262,3.909492274,3.944515746,3.937643011,0.0006915745319,0.3306913761,315.5612597,3.814634146,3.735682819,3.772425322,3.765532048,0.00050740988,0.2611670409,301.7940258,4633,4627,4630.1875,4630,2.711234177,35,370415,3.50702399,3.50475162,3.506016216,3.505940808,2.62E-07,0.01026466279,280.4812973,3.505940808,3.503347009,3.504442443,3.504428602,3.85E-07,0.01199107446,280.3553954,flat,notgloved,LC,1,constant
4629,4622,4625.8375,4626,4.163132911,36,370067,3.507565932,3.505620406,3.506983793,3.50713051,2.24E-07,0.01038347423,280.5587035,3.505297297,3.503025065,3.50419535,3.50410722,3.21E-07,0.01514158507,280.335628,405,380,389.225,388.5,42.78417722,58,31138,4.007772021,3.951653944,3.978424124,3.979899371,0.0002154665968,0.2321796528,318.2739299,3.805194805,3.771208226,3.786880331,3.78680203,6.62E-05,0.200291092,302.9504265,4629,4622,4625.8375,4626,4.163132911,36,370067,3.507565932,3.505620406,3.506983793,3.50713051,2.24E-07,0.01038347423,280.5587035,3.505297297,3.503025065,3.50419535,3.50410722,3.21E-07,0.01514158507,280.335628,flat,notgloved,LC,1,constant
4605,4596,4600.375,4599,8.338607595,43,368030,3.512396694,3.5089053,3.510882821,3.511309265,1.14E-06,0.01601495127,280.8706257,3.512943224,3.507929611,3.511377397,3.511794744,1.35E-06,0.01533630136,280.9101918,363,267,337.8375,350,711.7074367,116,27027,4.191176471,3.930939227,4.012493733,3.977495371,0.005368739337,0.4109131876,320.9994987,4.158774373,4.110795455,4.13314415,4.132513213,0.0001336179384,0.2916149508,330.651532,4605,4596,4600.375,4599,8.338607595,43,368030,3.512396694,3.5089053,3.510882821,3.511309265,1.14E-06,0.01601495127,280.8706257,3.512943224,3.507929611,3.511377397,3.511794744,1.35E-06,0.01533630136,280.9101918,flat,notgloved,LC,2,constant
4608,4598,4602.625,4603,9.60443038,31,368210,3.512285279,3.509225092,3.511273751,3.511410563,3.67E-07,0.01250801928,280.9019001,3.512603216,3.510416667,3.511729801,3.511744237,2.55E-07,0.01032585114,280.9383841,367,339,353.2,352,72.13670886,72,28256,3.936288089,3.853448276,3.892513171,3.892907445,0.0003346033965,0.3327013215,311.4010537,4.297058824,4.147222222,4.220745337,4.219375,0.002525333712,0.2574228908,337.659627,4608,4598,4602.625,4603,9.60443038,31,368210,3.512285279,3.509225092,3.511273751,3.511410563,3.67E-07,0.01250801928,280.9019001,3.512603216,3.510416667,3.511729801,3.511744237,2.55E-07,0.01032585114,280.9383841,flat,notgloved,LC,2,constant
4611,4591,4602.1375,4602.5,47.9681962,54,368171,3.514801916,3.511284722,3.513397818,3.513563369,5.39E-07,0.01742933562,281.0718255,3.511501736,3.508924684,3.510188657,3.510161853,4.78E-07,0.0151927981,280.8150925,392,337,359.9875,354,276.6707278,117,28799,3.885204082,3.72752809,3.810989502,3.810803673,0.002400163103,0.5456580146,304.8791602,4.343195266,3.997416021,4.182943563,4.244956772,0.01677247733,0.5228618409,334.635485,4611,4591,4602.1375,4602.5,47.9681962,54,368171,3.514801916,3.511284722,3.513397818,3.513563369,5.39E-07,0.01742933562,281.0718255,3.511501736,3.508924684,3.510188657,3.510161853,4.78E-07,0.0151927981,280.8150925,flat,notgloved,LC,2,constant
4600,4593,4595.15,4595,3.26835443,38,367612,3.513931215,3.511632964,3.512777209,3.51273123,4.02E-07,0.0139881996,281.0221767,3.509470934,3.507939961,3.50882183,3.508865405,2.19E-07,0.00957046675,280.7057464,441,393,425.575,428,182.3993671,76,34046,3.920454545,3.853080569,3.881340602,3.879760912,0.0003181970558,0.2515498103,310.5072482,4.132118451,4.005025126,4.06093924,4.042007058,0.001631279533,0.2186795442,324.8751392,4600,4593,4595.15,4595,3.26835443,38,367612,3.513931215,3.511632964,3.512777209,3.51273123,4.02E-07,0.0139881996,281.0221767,3.509470934,3.507939961,3.50882183,3.508865405,2.19E-07,0.00957046675,280.7057464,flat,notgloved,LC,2,constant
4605,4602,4604.075,4604,0.5006329114,19,368326,3.500542888,3.498045178,3.499342912,3.499402752,3.63E-07,0.009015104792,279.947433,3.501629372,3.499565595,3.500743933,3.500760043,2.02E-07,0.006844164867,280.0595146,14,0,1.3125,0,9.98971519,18,105,4,0,0.9274553571,0,1.425068793,13.67857143,74.19642857,4,0,1.393646978,0,3.114895972,20.26190476,111.4917582,4605,4602,4604.075,4604,0.5006329114,19,368326,3.500542888,3.498045178,3.499342912,3.499402752,3.63E-07,0.009015104792,279.947433,3.501629372,3.499565595,3.500743933,3.500760043,2.02E-07,0.006844164867,280.0595146,flat,notgloved,LC,1,no
4606,4601,4603.525,4604,2.151265823,19,368282,3.500108625,3.499021952,3.499560091,3.499565689,8.78E-08,0.005975261993,279.9648073,3.501303215,3.499674126,3.500583817,3.500488764,1.57E-07,0.008364299901,280.0467053,16,3,7.6,6,10.49620253,43,608,3.555555556,1.5,2.555108797,2.6,0.2142227423,11.13179876,204.4087038,3.4,2.2,2.812079813,2.809090909,0.06353699891,7.81000666,224.966385,4606,4601,4603.525,4604,2.151265823,19,368282,3.500108625,3.499021952,3.499560091,3.499565689,8.78E-08,0.005975261993,279.9648073,3.501303215,3.499674126,3.500583817,3.500488764,1.57E-07,0.008364299901,280.0467053,flat,notgloved,LC,1,no
