maxXshear,minXshear,meanXshear,medianXshear,varXshear,totalvarXshear,aucXshear,XmaxXshear,XminXshear,XmeanXshear,XmedianXshear,XvarXshear,XtotalvarXshear,XaucXshear,YmaxXshear,YminXshear,YmeanXshear,YmedianXshear,YvarXshear,YtotalvarXshear,YaucXshear,maxYshear,minYshear,meanYshear,medianYshear,varYshear,totalvarYshear,aucYshear,XmaxYshear,XminYshear,XmeanYshear,XmedianYshear,XvarYshear,XtotalvarYshear,XaucYshear,YmaxYshear,YminYshear,YmeanYshear,YmedianYshear,YvarYshear,YtotalvarYshear,YaucYshear,subcondition,glovecondition,subject,filecount,gesture
4638,4629,4635.5875,4636,4.017563291,37,370847,3.505067932,3.503455724,3.504609603,3.504852275,1.68E-07,0.01110869704,280.3687682,3.507011866,3.502484338,3.505372656,3.505877272,1.47E-06,0.01198261864,280.4298125,4638,4629,4635.5875,4636,4.017563291,37,370847,3.505067932,3.503455724,3.504609603,3.504852275,1.68E-07,0.01110869704,280.3687682,3.507011866,3.502484338,3.505372656,3.505877272,1.47E-06,0.01198261864,280.4298125,flat,notgloved,LC,1,constant
4637,4630,4633.075,4634,3.589240506,37,370646,3.507230736,3.504422869,3.505968169,3.506042296,5.89E-07,0.0119749817,280.4774535,3.506151522,3.502698036,3.504726707,3.505073403,8.70E-07,0.01284577552,280.3781365,4637,4630,4633.075,4634,3.589240506,37,370646,3.507230736,3.504422869,3.505968169,3.506042296,5.89E-07,0.0119749817,280.4774535,3.506151522,3.502698036,3.504726707,3.505073403,8.70E-07,0.01284577552,280.3781365,flat,notgloved,LC,1,constant
4633,4627,4630.1875,4630,2.711234177,35,370415,3.50702399,3.50475162,3.506016216,3.505940808,2.62E-07,0.01026466279,280.4812973,3.505940808,3.503347009,3.504442443,3.504428602,3.85E-07,0.01199107446,280.3553954,4633,4627,4630.1875,4630,2.711234177,35,370415,3.50702399,3.50475162,3.506016216,3.505940808,2.62E-07,0.01026466279,280.4812973,3.505940808,3.503347009,3.504442443,3.504428602,3.85E-07,0.01199107446,280.3553954,flat,notgloved,LC,1,constant
4629,4622,4625.8375,4626,4.163132911,36,370067,3.507565932,3.505620406,3.506983793,3.50713051,2.24E-07,0.01038347423,280.5587035,3.505297297,3.503025065,3.50419535,3.50410722,3.21E-07,0.01514158507,280.335628,4629,4622,4625.8375,4626,4.163132911,36,370067,3.507565932,3.505620406,3.506983793,3.50713051,2.24E-07,0.01038347423,280.5587035,3.505297297,3.503025065,3.50419535,3.50410722,3.21E-07,0.01514158507,280.335628,flat,notgloved,LC,1,constant
4605,4596,4600.375,4599,8.338607595,43,368030,3.512396694,3.5089053,3.510882821,3.511309265,1.14E-06,0.01601495127,280.8706257,3.512943224,3.507929611,3.511377397,3.511794744,1.35E-06,0.01533630136,280.9101918,4605,4596,4600.375,4599,8.338607595,43,368030,3.512396694,3.5089053,3.510882821,3.511309265,1.14E-06,0.01601495127,280.8706257,3.512943224,3.507929611,3.511377397,3.511794744,1.35E-06,0.01533630136,280.9101918,flat,notgloved,LC,2,constant
4608,4598,4602.625,4603,9.60443038,31,368210,3.512285279,3.509225092,3.511273751,3.511410563,3.67E-07,0.01250801928,280.9019001,3.512603216,3.510416667,3.511729801,3.511744237,2.55E-07,0.01032585114,280.9383841,4608,4598,4602.625,4603,9.60443038,31,368210,3.512285279,3.509225092,3.511273751,3.511410563,3.67E-07,0.01250801928,280.9019001,3.512603216,3.510416667,3.511729801,3.511744237,2.55E-07,0.01032585114,280.9383841,flat,notgloved,LC,2,constant
4611,4591,4602.1375,4602.5,47.9681962,54,368171,3.514801916,3.511284722,3.513397818,3.513563369,5.39E-07,0.01742933562,281.0718255,3.511501736,3.508924684,3.510188657,3.510161853,4.78E-07,0.0151927981,280.8150925,4611,4591,4602.1375,4602.5,47.9681962,54,368171,3.514801916,3.511284722,3.513397818,3.513563369,5.39E-07,0.01742933562,281.0718255,3.511501736,3.508924684,3.510188657,3.510161853,4.78E-07,0.0151927981,280.8150925,flat,notgloved,LC,2,constant
4600,4593,4595.15,4595,3.26835443,38,367612,3.513931215,3.511632964,3.512777209,3.51273123,4.02E-07,0.0139881996,281.0221767,3.509470934,3.507939961,3.50882183,3.508865405,2.19E-07,0.00957046675,280.7057464,4600,4593,4595.15,4595,3.26835443,38,367612,3.513931215,3.511632964,3.512777209,3.51273123,4.02E-07,0.0139881996,281.0221767,3.509470934,3.507939961,3.50882183,3.508865405,2.19E-07,0.00957046675,280.7057464,flat,notgloved,LC,2,constant
4605,4602,4604.075,4604,0.5006329114,19,368326,3.500542888,3.498045178,3.499342912,3.499402752,3.63E-07,0.009015104792,279.947433,3.501629372,3.499565595,3.500743933,3.500760043,2.02E-07,0.006844164867,280.0595146,4605,4602,4604.075,4604,0.5006329114,19,368326,3.500542888,3.498045178,3.499342912,3.499402752,3.63E-07,0.009015104792,279.947433,3.501629372,3.499565595,3.500743933,3.500760043,2.02E-07,0.006844164867,280.0595146,flat,notgloved,LC,1,no
4606,4601,4603.525,4604,2.151265823,19,368282,3.500108625,3.499021952,3.499560091,3.499565689,8.78E-08,0.005975261993,279.9648073,3.501303215,3.499674126,3.500583817,3.500488764,1.57E-07,0.008364299901,280.0467053,4606,4601,4603.525,4604,2.151265823,19,368282,3.500108625,3.499021952,3.499560091,3.499565689,8.78E-08,0.005975261993,279.9648073,3.501303215,3.499674126,3.500583817,3.500488764,1.57E-07,0.008364299901,280.0467053,flat,notgloved,LC,1,no
