"max","min","mean","median","var","totalvar","auc","Xmax","Xmin","Xmean","Xmedian","Xvar","Xtotalvar","Xauc","Ymax","Ymin","Ymean","Ymedian","Yvar","Ytotalvar","Yauc","subcondition","glovecondition","subject","filecount","gesture"
"1101","691","932.3875","931","7298.6960443038","6955","74591","4.38344226579521","3.69933920704846","4.07848200295902","4.06370293494354","0.0167251741493074","10.1120406975734","326.278560236721","3.91995731056564","3.29504950495049","3.61850777177468","3.62493063263041","0.0107554196836009","8.52860348163448","289.480621741974","flat","gloved","error","1","constant"
"1095","596","870.7125","878","8713.72642405063","8152","69657","4.53919239904988","3.67474048442907","4.06473012308407","4.06456090774446","0.0240607172543676","14.37698005705","325.178409846726","3.89386189258312","3.32847533632287","3.62205007349584","3.62636534839925","0.013782418076202","10.4935989314964","289.764005879668","flat","gloved","error","1","constant"
"1109","649","884.8625","888.5","7239.36060126582","7465","70789","4.48085585585586","3.67080745341615","4.09871761771457","4.09124137561539","0.0222668814999951","11.9887684534868","327.897409417165","3.86728754365541","3.22184684684685","3.59487790438168","3.58023746701847","0.0171559100370049","12.0844144853773","287.590232350535","flat","gloved","error","1","constant"
"1015","630","853.725","859.5","7767.54367088608","7517","68298","4.45183175033921","3.57476635514019","4.04366622083025","4.04953955082016","0.0347999971262088","17.1831374208125","323.49329766642","3.88461538461538","3.36870897155361","3.6164278581052","3.62569574925482","0.0139466890562101","11.1963869467236","289.314228648416","flat","gloved","error","1","constant"
"1009","606","806.85","813.5","8670.20506329114","7406","64548","3.75407925407925","2.83936324167873","3.33230262798679","3.32416422472193","0.0372768362119685","14.7944658782281","266.584210238944","4.33004231311707","3.71991911021234","4.01487540319579","4.01511272150396","0.0195117660110417","13.5941457776204","321.190032255663","flat","gloved","error","2","constant"
"873","540","712.9125","717.5","6397.47325949367","5963","57033","3.74931880108992","2.76462196861626","3.21517364855535","3.20858855463644","0.0334989872797523","16.8797966019704","257.213891884428","4.20056899004267","3.57043235704324","3.91942388551056","3.90441458140253","0.0197726607150972","14.0674034564333","313.553910840845","flat","gloved","error","2","constant"
"846","480","659.7375","664.5","6547.15806962025","7389","52779","3.41148325358852","2.37396694214876","3.07101987314631","3.1004500972167","0.0375805641180427","16.4048468729817","245.681589851705","4.25147347740668","3.48345153664303","3.85723819016986","3.85238927806403","0.0301243075401939","17.2329149483841","308.579055213589","flat","gloved","error","2","constant"
"883","483","672.775","670.5","6943.99936708861","6653","53822","3.7018779342723","2.59966499162479","3.15678753277098","3.14572137029624","0.0477495163453127","18.7183070520023","252.543002621678","4.30514705882353","3.39958592132505","3.87278820973004","3.86286267625139","0.0237244217146914","12.0154138851263","309.823056778403","flat","gloved","error","2","constant"
"538","125","315.35","303.5","12793.7493670886","4981","25228","5.02346041055718","2.2037037037037","3.37343590626895","3.26521860206071","0.394334594060525","24.0777175056221","269.874872501516","5.13805970149254","2.1849710982659","3.61913835239247","3.65329768270945","0.39510021310981","27.5721464360504","289.531068191397","flat","gloved","error","1","drag"
"439","6","270.275","280","8477.21455696203","6362","21622","5.5","2.87455197132616","3.63848372930424","3.59459709596479","0.197449087677352","31.8372081570589","291.078698344339","5.15183246073298","1.3991935483871","3.18096907810028","3.20717010577423","0.76495363800758","40.2747505697055","254.477526248023","flat","gloved","error","1","drag"
