max,min,mean,median,var,totalvar,auc,Xmax,Xmin,Xmean,Xmedian,Xvar,Xtotalvar,Xauc,Ymax,Ymin,Ymean,Ymedian,Yvar,Ytotalvar,Yauc,subject,filecount,gesture
7677,221,1201.1875,591,2820311.369,91364,96095,3.806905371,2.146258503,3.088978237,3.118098503,0.1446360396,29.28635985,247.118259,5.617533719,2.358529111,4.429276908,4.563433804,0.4394173069,61.80155124,354.3421526,4,1,constant
7506,184,1281.55,559.5,3396406.681,111980,102524,4.156557377,0.9330143541,3.022315369,3.066364062,0.2502513779,44.67748944,241.7852295,5.752528658,1.940714052,4.368862167,4.462690034,0.6758306081,77.65682997,349.5089734,4,1,constant
7686,247,1792.725,685.5,4986267.493,155842,143418,3.900662252,1.558704453,3.156868918,3.192531246,0.1906956275,38.13833463,252.5495135,5.774071266,1.853472222,4.254917414,4.396442836,0.7061782827,80.58658767,340.3933931,4,1,constant
7661,174,1358.225,572.5,3651885.847,111062,108658,4.056074766,2.028735632,3.088680632,3.102163822,0.1871142851,36.52096643,247.0944505,5.39694372,1.911174785,4.250494482,4.468150189,0.6017734638,68.81783132,340.0395586,4,1,constant
6445,79,516.7625,219,591078.2847,50089,41341,5.045977011,2.291666667,3.576118691,3.557320434,0.2878333133,47.28441139,286.0894953,5.826235094,1.568604651,3.434279723,3.374957555,0.7566507544,80.88462443,274.7423778,4,2,constant
5317,70,505.0375,261,428938.9226,47456,40403,4.661157025,2.300380228,3.439335235,3.379680887,0.2769159123,43.01985957,275.1468188,5.899873257,1.478431373,3.650894831,3.662208057,0.8704805029,89.34899007,292.0715865,4,2,constant
7373,69,510.175,231.5,737497.9943,49054,40814,4.53968254,1.892644135,3.463352904,3.511717182,0.377432394,56.47297071,277.0682323,5.66119578,1.332007952,3.4623869,3.41208855,0.8234382165,86.98762478,276.990952,4,2,constant
1116,76,426.2125,230.5,139350.9543,39900,34097,5.292929293,2.029411765,3.59775491,3.596428263,0.4000379663,45.61303832,287.8203928,5.396718147,1.316782522,3.461973996,3.483760684,0.718704048,67.46008171,276.9579197,4,2,constant
7653,251,1271.1125,661.5,3102653.544,100335,101689,4.8875,3.024892704,4.000444945,4.045451023,0.1412070787,32.3312069,320.0355956,5.492585429,1.596899225,3.511619813,3.529103735,0.412848004,51.56870209,280.9295851,4,3,constant
7946,263,1392.325,800.5,2800443.513,81668,111386,4.805660377,3.22147651,4.038489447,4.034813247,0.09786777771,28.08862805,323.0791557,5.255033557,1.803209459,3.542718297,3.496050799,0.3999936868,51.45208672,283.4174637,4,3,constant
1749,415,921.525,819.5,144821.2652,39407,73722,5.026269702,3.098989899,4.198065341,4.269105716,0.1408599139,31.59933525,335.8452273,4.96369863,1.991629105,3.580453569,3.610153079,0.3374387546,52.0586642,286.4362856,4,3,constant
7970,420,1366.8375,814,2596854.619,90807,109347,5.216666667,3.217687075,4.218885918,4.202949849,0.1596827282,36.34775631,337.5108735,4.675595238,1.973913043,3.567301782,3.585685994,0.2794987774,46.08567589,285.3841426,4,3,constant
3047,1233,1717.675,1597,149158.5513,36161,137414,4.088556409,3.240779768,3.733396415,3.749762801,0.0257176565,12.68054357,298.6717132,3.864740369,2.070535714,2.759560599,2.682231991,0.1396286659,30.59841375,220.7648479,4,4,constant
7744,1304,2119.5375,1706.5,1729599.442,67936,169563,4.07859734,3.301495017,3.748776711,3.746738684,0.02485055993,12.85532288,299.9021369,4.120586026,1.954011065,2.850523575,2.746902853,0.1855763157,34.38296278,228.041886,4,4,constant
7705,1300,2357.35,1732.5,2641396.382,90058,188588,3.984440455,3.42921074,3.7241753,3.721748399,0.0165884563,10.83104149,297.934024,4.230229008,1.969223702,2.891590024,2.761865721,0.1880287608,32.92034744,231.3272019,4,4,constant
7743,1316,2050.0125,1718,1053899.253,60041,164001,4.157175399,3.264547677,3.73354631,3.765430379,0.02705714614,14.15224026,298.6837048,4.153146853,1.996991979,2.884110368,2.793915426,0.1621490838,35.32766844,230.7288295,4,4,constant
7962,261,1926.625,813,5442185.174,172034,154130,3.969924812,2.711496746,3.432257382,3.473459445,0.08218322589,22.47129377,274.5805905,5.268019594,2.322351421,3.956675234,3.967772452,0.3435490466,52.08785672,316.5340187,4,5,constant
7976,273,1210.75,772.5,1984600.519,79644,96860,4.022485946,2.298295455,3.283943024,3.373775192,0.1538609033,33.51842134,262.7154419,5.470588235,1.877671334,3.907391263,4.042399846,0.4645976094,64.92479129,312.5913011,4,5,constant
7860,194,1023.3,636,1388112.82,67461,81864,4.147058824,2.491195551,3.315982868,3.271817546,0.1279759891,31.34414225,265.2786295,5.597768644,1.699727025,4.05069507,4.136559532,0.5452809473,63.87097278,324.0556056,4,5,constant
