max,min,mean,median,var,totalvar,auc,Xmax,Xmin,Xmean,Xmedian,Xvar,Xtotalvar,Xauc,Ymax,Ymin,Ymean,Ymedian,Yvar,Ytotalvar,Yauc,subcondition,subject,gesture
6896,50,662.9,233,1441166.243,64410,53032,5.23255814,2.37630662,3.829445876,3.82890573,0.3400109769,56.39696052,306.3556701,5.587688734,1.505274262,3.393853101,3.366857552,0.6842110135,73.67899264,271.508248,flat,P5,constant
6867,40,735.55,183,2106587.871,86180,58844,5.6625,2.189823875,3.644052848,3.566403927,0.5098989861,62.36150604,291.5242279,5.639386189,1.189823875,3.427220337,3.4609889,0.8462623919,81.64876972,274.1776269,flat,P5,constant
6719,38,691.675,179,1802538.982,67832,55334,5.222222222,1.940828402,3.753839068,3.746576706,0.4717824044,59.95403803,300.3071255,5.605128205,1.263810598,3.441329542,3.48525641,0.7701105759,82.29847914,275.3063634,flat,P5,constant
6916,23,627.4375,232.5,1350293.414,65015,50195,5.347826087,2.439481268,3.745782506,3.740660426,0.4096962362,54.06168624,299.6626005,5.408641975,1.086956522,3.511877898,3.491487913,0.8754507521,89.96239075,280.9502318,flat,P5,constant
6552,11,822.25,153.5,2391139.304,82523,65780,5.651162791,1.841423948,3.887430764,3.86792887,0.5228625921,68.38378619,310.9944611,5.820779221,1.048342541,3.498347084,3.458406015,1.098710508,99.76036853,279.8677667,flat,P5,constant
5583,23,380.9,115.5,480107.7114,42181,30472,5.888888889,2.091603053,4.000797833,3.985448092,0.6855967468,68.51079077,320.0638266,5.891271057,1.192353644,3.515867987,3.452473118,0.9457451112,86.18807712,281.2694389,flat,P5,constant
6628,23,680.8125,153.5,2108080.407,79003,54465,5.356164384,2.215481172,3.882512684,3.882482808,0.4018529644,56.82922674,310.6010147,5.887700535,1.138075314,3.470475763,3.53315037,0.920509593,78.89294232,277.638061,flat,P5,constant
6718,21,1019.825,213,2943499.083,112089,81586,5.780821918,2.226190476,3.892044198,3.743057187,0.4078667174,49.44316619,311.3635359,5.47113594,1.115835777,3.483056415,3.487189992,1.030787542,95.61938628,278.6445132,flat,P5,constant
6517,14,755.5375,180.5,2206252.176,80399,60443,5.75,1.857142857,3.741095593,3.719099682,0.5011419,60.58591201,299.2876474,5.710614525,1.175159236,3.403483438,3.48780889,0.9652684044,87.12435723,272.2786751,flat,P5,constant
6757,32,535.95,153.5,1250866.403,55635,42876,5.466666667,2.169421488,3.86183745,3.844309325,0.5178198061,65.32007171,308.946996,5.642228739,1.027777778,3.414654442,3.417066324,0.8950058451,91.44523377,273.1723553,flat,P5,constant
6563,10,480.575,164,966440.5766,55565,38446,5.760869565,1.808259587,3.72428619,3.689409164,0.4992620656,58.64547864,297.9428952,5.551886792,1.211180124,3.518844434,3.601490826,0.960972155,86.25155317,281.5075547,flat,P5,constant
6616,15,811.05,165.5,2563588.478,84080,64884,6,2.320272572,3.873863068,3.815340909,0.4035795642,59.74620665,309.9090454,5.6774942,1.209540034,3.365145087,3.411962134,0.9079965573,88.4749756,269.211607,flat,P5,constant
6971,967,1723.95,1215.5,1772783.82,76766,137916,4.309978769,3.326427772,3.660190225,3.644166567,0.01647102004,10.79238308,292.815218,4.143426295,1.636883117,2.396392928,2.180279639,0.2949664017,42.47454557,191.7114342,flat,P5,constant
6722,916,1867.9625,1206,2186678.973,85902,149437,3.91498406,3.11627907,3.633564356,3.641198763,0.02394675651,14.57436942,290.6851485,4.271064468,1.602505695,2.409079571,2.157140283,0.4253824416,45.12927297,192.7263657,flat,P5,constant
