max,min,mean,median,var,totalvar,auc,Xmax,Xmin,Xmean,Xmedian,Xvar,Xtotalvar,Xauc,Ymax,Ymin,Ymean,Ymedian,Yvar,Ytotalvar,Yauc,subcondition,subject,gesture
4661,4442,4560.8625,4562.5,1935.588449,3672,364869,3.537643741,3.460132159,3.497932485,3.4988498,0.0002723471281,1.542689574,279.8345988,3.534070796,3.459288365,3.498405896,3.498909741,0.0002616791732,1.368770465,279.8724717,flat,P1,constant
4664,4460,4556.95,4556.5,1768.756962,3671,364556,3.529681362,3.449944506,3.497625594,3.499889037,0.000297678661,1.404460569,279.8100475,3.545753785,3.459405941,3.500246036,3.501141967,0.0002561927615,1.520332125,280.0196829,flat,P1,constant
4655,4473,4555.925,4553,1596.171519,3073,364474,3.549087003,3.440850687,3.495707901,3.496471354,0.0002830603514,1.323330722,279.6566321,3.536493102,3.461758242,3.499985278,3.501480867,0.0002481838213,1.424953705,279.9988223,flat,P1,constant
4671,4442,4564.8375,4565,1888.618829,3679,365187,3.536837475,3.462508295,3.498287023,3.498524659,0.0002487976314,1.401898814,279.8629618,3.538946421,3.462906725,3.498334852,3.497916533,0.0002489541314,1.388117548,279.8667881,flat,P1,constant
4631,4473,4560.325,4564.5,1193.690506,3592,364826,3.530465167,3.456055969,3.493575843,3.492900361,0.0002491492536,1.257062957,279.4860674,3.52948886,3.460171165,3.497482296,3.496987092,0.0002397653025,1.523662703,279.7985837,flat,P1,constant
4689,4460,4556.8375,4555,1686.163133,3622,364547,3.546775259,3.458038869,3.495185882,3.495638422,0.0003005983321,1.484925718,279.6148706,3.546266057,3.46114902,3.498123065,3.496785829,0.0003042903702,1.501567325,279.8498452,flat,P1,constant
4631,4431,4554.7375,4558.5,1606.018829,4103,364379,3.544127405,3.447195443,3.492926509,3.492399108,0.0002927666428,1.559940212,279.4341207,3.539496528,3.454304636,3.495539579,3.495466056,0.0002559971723,1.298024318,279.6431663,flat,P1,constant
4646,4458,4548.3375,4547,1687.821361,4005,363867,3.538209607,3.455273698,3.493301894,3.492294704,0.0003523304738,1.648732973,279.4641515,3.527619465,3.468433527,3.49681557,3.495625517,0.0001753846639,1.151107801,279.7452456,flat,P1,constant
4706,4509,4588.675,4585,1422.855063,3703,367094,3.548380083,3.469997818,3.5084127,3.507746364,0.0002356155985,1.197390196,280.673016,3.528301887,3.461954172,3.492388977,3.492043914,0.0001803246712,1.196560816,279.3911182,flat,P1,constant
4686,4472,4589.1,4595.5,1752.698734,3280,367128,3.547483589,3.455178416,3.506561436,3.504809853,0.0002529404862,1.285654367,280.5249149,3.529438002,3.459293395,3.495476074,3.494396522,0.0002621058559,1.355963223,279.6380859,flat,P1,constant
4745,4458,4595.075,4596,2651.184177,4024,367606,3.551558753,3.475174216,3.510701293,3.509922203,0.0002713896145,1.533368387,280.8561034,3.528485923,3.45134485,3.4933588,3.49496656,0.0002700876436,1.460644935,279.468704,flat,P1,constant
4723,4441,4581.4125,4580.5,2183.359335,3867,366513,3.547894392,3.462358573,3.506193879,3.506339364,0.0003146028671,1.47541421,280.4955103,3.530938987,3.469193309,3.49387576,3.495293025,0.0002036126187,1.208050643,279.5100608,flat,P1,constant
4662,4439,4549.4625,4553,1602.732753,3536,363957,3.52046913,3.451414784,3.491564489,3.490954524,0.0002865304944,1.602933913,279.3251591,3.533506831,3.465426696,3.499318613,3.497646916,0.000254415667,1.463577152,279.945489,flat,P1,constant
4631,4424,4540.775,4548.5,2414.252532,4880,363262,3.527126591,3.442749779,3.489786408,3.488995532,0.0002638109072,1.54397093,279.1829127,3.547295793,3.468655426,3.501630586,3.500221335,0.0003075335286,1.79729364,280.1304469,flat,P1,constant
4662,4462,4539.975,4536.5,1905.214557,3490,363198,3.529933002,3.447996497,3.490960757,3.490950798,0.0002957976281,1.410947505,279.2768605,3.539741625,3.455891963,3.500291169,3.5007669,0.0002052619768,1.315350353,280.0232935,flat,P1,constant
4682,4399,4537.75,4529,2777.075949,4729,363020,3.532665505,3.460897002,3.491405609,3.49172653,0.0002025166124,1.395420925,279.3124487,3.54714888,3.458095656,3.496200942,3.496584634,0.000317022056,1.521807877,279.6960753,flat,P1,constant
4664,4472,4581.1875,4578.5,1947.268196,4407,366495,3.542137272,3.451908056,3.500585148,3.500872676,0.000262498611,1.601413506,280.0468119,3.530989011,3.465421392,3.500216637,3.502572677,0.000188976084,1.22236497,280.0173309,flat,P1,constant
4678,4466,4578.4,4582,2374.572152,4649,366272,3.545831515,3.463259487,3.500033213,3.501357865,0.0002368410622,1.427043508,280.002657,3.532982687,3.470290493,3.502259157,3.504633011,0.0001899464712,1.167000408,280.1807325,flat,P1,constant
4640,4466,4569.625,4574.5,1662.186709,3604,365570,3.562024183,3.469559585,3.501606539,3.498288962,0.0003307389485,1.444235471,280.1285231,3.545809813,3.469151951,3.500219432,3.499671197,0.0002453975217,1.357865618,280.0175545,flat,P1,constant
4661,4467,4564.4125,4566.5,2184.017563,3950,365153,3.540282302,3.465468099,3.499479733,3.498329578,0.0002443429649,1.331176482,279.9583786,3.543163891,3.461117196,3.501349605,3.500981879,0.0002048606895,1.172738186,280.1079684,flat,P1,constant
4724,4469,4604.9625,4609.5,1952.568196,3934,368397,3.546666667,3.476560812,3.506795229,3.506427879,0.000196779685,1.195716754,280.5436183,3.533318768,3.445861249,3.491874143,3.490814606,0.0002318224957,1.235999597,279.3499314,flat,P1,constant
4708,4500,4599.6375,4597.5,1684.816297,3530,367971,3.542076503,3.467156439,3.506283913,3.506991554,0.0002522890283,1.308071152,280.502713,3.52965638,3.452817824,3.491537429,3.490900907,0.0002500160325,1.404384555,279.3229943,flat,P1,constant
4718,4486,4588.025,4591,2179.594304,3999,367042,3.546181172,3.45851819,3.507578162,3.508288678,0.0002782266758,1.411070546,280.6062529,3.553629469,3.451605807,3.494315678,3.494143512,0.0002803729004,1.494858025,279.5452543,flat,P1,constant
4706,4466,4590.8,4592,1889.022785,3687,367264,3.549596686,3.457167272,3.505619969,3.502717579,0.0003291004868,1.624370944,280.4495975,3.536144578,3.447647951,3.494161983,3.4955222,0.0002831696306,1.337160356,279.5329586,flat,P1,constant
4659,4452,4560.9375,4560,1578.034019,3710,364875,3.531752936,3.453373442,3.494292046,3.494205846,0.0002594525718,1.353339872,279.5433637,3.540498786,3.456064222,3.49371312,3.493371031,0.000337033699,1.712045453,279.4970496,flat,P1,constant
4662,4450,4570.6375,4577.5,1763.626424,3599,365651,3.524510882,3.460021668,3.49449221,3.493685366,0.0002201360062,1.155078985,279.5593768,3.533080864,3.447438163,3.495842352,3.495576465,0.0003021128908,1.502552376,279.6673882,flat,P1,constant
4680,4491,4569.0875,4573.5,1696.941614,3523,365527,3.528961749,3.456369983,3.48945346,3.492317096,0.00026395177,1.393317003,279.1562768,3.523374889,3.447328244,3.492357055,3.494195506,0.0002765697246,1.405255242,279.3885644,flat,P1,constant
4673,4470,4566.9375,4566,1992.844146,4393,365355,3.525812194,3.444856146,3.489348615,3.49054438,0.0003000256533,1.43601292,279.1478892,3.521278942,3.453803749,3.491190591,3.490980643,0.0002090383669,1.277922592,279.2952473,flat,P1,constant
4692,4516,4589.0875,4590.5,1663.321361,3394,367127,3.540064447,3.460400348,3.498245504,3.498138491,0.0002992550571,1.480435576,279.8596403,3.543501844,3.462356067,3.502052994,3.500869469,0.0003114811479,1.362271922,280.1642395,flat,P1,constant
4686,4504,4587.1875,4588,1342.356804,3304,366975,3.53514342,3.458141068,3.495675511,3.4932221,0.0002712641258,1.516494392,279.6540408,3.531859558,3.451150673,3.502590894,3.501860589,0.0003063894167,1.480090206,280.2072715,flat,P1,constant
4666,4512,4589.8125,4596.5,1562.280854,3967,367185,3.531640026,3.447477615,3.49417268,3.495495246,0.0002699097346,1.435118757,279.5338144,3.537962362,3.472750865,3.505979405,3.505360085,0.0002385223495,1.282524244,280.4783524,flat,P1,constant
4675,4496,4582.925,4587,1718.931013,4009,366634,3.544511668,3.446974626,3.493850379,3.49466686,0.0003186540443,1.598611571,279.5080304,3.546779809,3.464200218,3.508900114,3.510579557,0.0002587259462,1.452287584,280.7120091,flat,P1,constant
4702,4502,4587.4375,4582.5,1979.565665,4153,366995,3.546338302,3.466695316,3.502532076,3.502486329,0.0002729394161,1.421252866,280.2025661,3.546062567,3.447879859,3.49875,3.50021725,0.0003370366911,1.514371597,279.9,flat,P1,freeplay
