max,min,mean,median,var,totalvar,auc,Xmax,Xmin,Xmean,Xmedian,Xvar,Xtotalvar,Xauc,Ymax,Ymin,Ymean,Ymedian,Yvar,Ytotalvar,Yauc,subcondition,subject,gesture
4652,4404,4569.8,4573,1959.301266,4113,365584,3.561364643,3.463868941,3.513354235,3.513054974,0.0005200519083,1.680511961,281.0683388,3.544658887,3.458093126,3.501876538,3.501262563,0.0002191569202,1.307104592,280.150123,flat,P10,constant
4687,4472,4569.175,4570,1460.652532,3341,365534,3.548976447,3.467388949,3.509032117,3.508416791,0.0003134222818,1.538671819,280.7225694,3.545316236,3.471855761,3.505184228,3.505176268,0.0002759765007,1.538273304,280.4147383,flat,P10,constant
4690,4462,4574.5375,4575.5,2238.125158,4259,365963,3.56040342,3.465807297,3.508799384,3.508910277,0.0004314564864,1.856076288,280.7039507,3.544270258,3.464177816,3.503519419,3.502208512,0.0002573653247,1.525625752,280.2815535,flat,P10,constant
4690,4466,4570.4,4571,1748.167089,3690,365632,3.541794985,3.465237167,3.514931308,3.514905086,0.0002838895788,1.425484197,281.1945046,3.537958115,3.466550447,3.504219834,3.504073807,0.0002521245418,1.476748436,280.3375868,flat,P10,constant
4661,4480,4570.25,4573.5,1587.886076,4237,365620,3.563386428,3.45849716,3.505950555,3.508130448,0.0003147315545,1.427920751,280.4760444,3.542844523,3.468845316,3.511172803,3.511574315,0.0002162011432,1.321372401,280.8938242,flat,P10,constant
4682,4462,4563.275,4563.5,1932.303165,3800,365062,3.558507135,3.457043175,3.505584438,3.506314978,0.0004945746122,1.874072469,280.4467551,3.549344978,3.484306888,3.514792982,3.51471242,0.0001790068805,1.235379596,281.1834386,flat,P10,constant
4655,4438,4568.3625,4568,1582.031487,3561,365469,3.552389303,3.466374589,3.507261173,3.50627598,0.0002550533976,1.130826655,280.5808938,3.549121226,3.482917214,3.512837789,3.514133209,0.0002132304025,1.318945301,281.0270231,flat,P10,constant
4682,4481,4567.3375,4567.5,1760.428956,3823,365387,3.547686292,3.462893636,3.508182955,3.508134002,0.0003816173582,1.445603801,280.6546364,3.561703996,3.480435749,3.512744533,3.511739785,0.0002081605654,1.143612999,281.0195626,flat,P10,constant
4668,4442,4551.6875,4553.5,1626.141614,3847,364135,3.554385965,3.452532339,3.505518794,3.510070535,0.0004630169301,1.596395981,280.4415036,3.548903509,3.485663873,3.508752749,3.507057065,0.0001589352765,1.122100902,280.7002199,flat,P10,constant
4665,4464,4553.15,4555.5,1855.192405,4042,364252,3.551326664,3.45819398,3.499991458,3.50299605,0.0003955627172,1.797208607,279.9993166,3.543468858,3.46142043,3.509044948,3.509519359,0.0002101168338,1.189572814,280.7235959,flat,P10,constant
