max,min,mean,median,var,totalvar,auc,Xmax,Xmin,Xmean,Xmedian,Xvar,Xtotalvar,Xauc,Ymax,Ymin,Ymean,Ymedian,Yvar,Ytotalvar,Yauc,subcondition,subject,gesture
4736,4524,4611.4125,4609.5,1779.080854,3786,368913,3.540540541,3.467769661,3.504724999,3.503987261,0.0002966691454,1.630458842,280.3779999,3.546827133,3.47710423,3.508098184,3.507988407,0.0002237451452,1.180144278,280.6478547,flat,P7,constant
4709,4509,4612.375,4606.5,1955.781646,3531,368990,3.550724638,3.461620926,3.507154398,3.509130362,0.0003174472115,1.481266505,280.5723518,3.544993383,3.473455178,3.509037338,3.510291725,0.0001772764211,1.063845701,280.722987,flat,P7,constant
4724,4520,4617.375,4623.5,1957.984177,4152,369390,3.540199913,3.470909886,3.507985707,3.508802868,0.0003238393928,1.603584492,280.6388565,3.545059718,3.479815709,3.508584003,3.507999006,0.0001901963829,1.191261373,280.6867203,flat,P7,constant
4715,4528,4617.0375,4616.5,1678.46693,3142,369363,3.538743795,3.464972234,3.506812763,3.505570362,0.0003234297848,1.540688925,280.545021,3.534982935,3.478704911,3.507831734,3.50545171,0.0001895900043,1.217608641,280.6265387,flat,P7,constant
4738,4502,4631.1375,4642.5,2245.006171,4173,370491,3.550936894,3.471131144,3.511094847,3.510357934,0.0003167558978,1.572877685,280.8875878,3.553077418,3.489563159,3.513410043,3.510659553,0.0002229660368,1.439547728,281.0728034,flat,P7,constant
4743,4480,4639.9125,4643.5,2243.650475,4296,371193,3.574090121,3.463841451,3.515031162,3.514505924,0.0003184848832,1.53366439,281.202493,3.550258844,3.479865064,3.512889947,3.514876323,0.0002442008902,1.423449846,281.0311957,flat,P7,constant
4734,4565,4643.325,4640,1571.538608,3355,371466,3.545242636,3.476169937,3.511229973,3.513022246,0.0002902822705,1.419273671,280.8983978,3.541428269,3.473661485,3.5123868,3.51305554,0.0001688702217,1.219940194,280.990944,flat,P7,constant
4722,4512,4628.8625,4628,1910.018829,4109,370309,3.545121689,3.467211352,3.513316096,3.512063131,0.000255488983,1.238293072,281.0652877,3.546672429,3.478594249,3.512940409,3.512768489,0.0002504554696,1.431900678,281.0352327,flat,P7,constant
4652,4425,4566.075,4569.5,1720.45,3191,365286,3.565189048,3.462026702,3.515085464,3.514185697,0.0002999378352,1.577689949,281.2068371,3.534175011,3.462614779,3.495310536,3.493146911,0.0002072211237,1.15101749,279.6248429,flat,P7,constant
4658,4469,4576.575,4578.5,1674.80443,3898,366126,3.572086899,3.449362989,3.512305149,3.509841224,0.0003724042796,1.662495609,280.9844119,3.534908933,3.457754247,3.498765248,3.497293014,0.0002717411515,1.498479165,279.9012199,flat,P7,constant
