max,min,mean,median,var,totalvar,auc,Xmax,Xmin,Xmean,Xmedian,Xvar,Xtotalvar,Xauc,Ymax,Ymin,Ymean,Ymedian,Yvar,Ytotalvar,Yauc,maxSX,minSX,meanSX,medianSX,varSX,totalvarSX,aucSX,XmaxSX,XminSX,XmeanSX,XmedianSX,XvarSX,XtotalvarSX,XaucSX,YmaxSX,YminSX,YmeanSX,YmedianSX,YvarSX,YtotalvarSX,YaucSX,maxSY,minSY,meanSY,medianSY,varSY,totalvarSY,aucSY,XmaxSY,XminSY,XmeanSY,XmedianSY,XvarSY,XtotalvarSY,XaucSY,YmaxSY,YminSY,YmeanSY,YmedianSY,YvarSY,YtotalvarSY,YaucSY,subcondition,subject,filecount,gesture
996,113,687.75,732.5,35221.91139,13159,55020,3.22962963,2.219607843,2.841827229,2.877056839,0.05460762683,16.95575787,227.3461783,5.161087866,1.425233645,2.591117899,2.38793573,0.6614263666,26.8534919,207.289432,4685,4498,4601.0375,4600.5,1453.378323,2998,368083,3.54112744,3.476498491,3.506939973,3.506731681,0.0001198697456,1.015802833,280.5551979,3.520779221,3.457761578,3.48202823,3.482232274,0.0001194592986,0.9604873543,278.5622584,4706,4501,4579.2125,4570,1847.815032,2185,366337,3.529294716,3.482085389,3.504265384,3.503738955,0.0001033240811,0.8797462362,280.3412308,3.546975547,3.501752848,3.526261724,3.525987218,0.000116643935,0.9668519932,282.1009379,flat,P2,1,constant
966,162,746.65,783,32970.05316,12058,59732,3.352857143,2.188622754,2.899392952,2.935082411,0.05490862559,15.5313423,231.9514362,2.803149606,1.37037037,2.308817028,2.384946487,0.09535303962,19.28226059,184.7053623,4682,4526,4612.075,4618.5,1084.374051,2930,368966,3.535117773,3.480404823,3.506396291,3.507621262,0.0001319842447,1.130608452,280.5117033,3.504366812,3.461786174,3.481618117,3.481157411,0.0001053031814,1.03175411,278.5294494,4647,4496,4560.85,4563.5,956.5594937,2662,364868,3.531325566,3.479548972,3.506817895,3.505401345,0.0001142830942,0.9755313229,280.5454316,3.55,3.499462019,3.525859608,3.52555785,0.0001006250385,0.9330443439,282.0687686,flat,P2,1,constant
1058,188,761.9125,809,42078.96693,16644,60953,3.297297297,2.027777778,2.93216804,2.989140576,0.0692948656,20.14036896,234.5734432,3.090342679,1.388235294,2.347106282,2.417486317,0.1104313276,26.74460213,187.7685026,4668,4536,4614.825,4617,725.3867089,2451,369186,3.540487163,3.470081791,3.503948642,3.503472935,0.0001664817868,1.153904764,280.3158913,3.511809317,3.462954939,3.483638857,3.482886389,0.000128281027,0.9961498112,278.6911086,4637,4464,4558.6375,4559,758.9935127,2317,364691,3.530689964,3.480289093,3.507402191,3.507364307,0.0001018498472,0.9117615475,280.5921753,3.556142668,3.498676665,3.526289288,3.526840789,0.0001060019435,0.9280752034,282.1031431,flat,P2,1,constant
972,163,731.225,764,37256.73354,15783,58498,3.252369668,2.121359223,2.903749508,2.969127383,0.07259105967,22.90232474,232.2999606,2.896103896,1.483263598,2.349475208,2.391314079,0.08573508551,23.87165352,187.9580167,4680,4524,4610.2,4612.5,918.0860759,2590,368816,3.532941944,3.486228584,3.504139189,3.504245858,8.13E-05,0.7850308686,280.3311351,3.503165248,3.460197935,3.483017633,3.483056425,0.0001172970568,1.087184647,278.6414106,4611,4490,4561.1,4562,830.0911392,2718,364888,3.533029118,3.483494718,3.506148272,3.506624028,9.35E-05,0.8760372273,280.4918618,3.54467618,3.502068365,3.525790509,3.526681949,8.26E-05,0.7969680854,282.0632407,flat,P2,1,constant
1295,222,968.775,1027.5,50719.92342,17845,77502,3.952879581,3.054662379,3.520289951,3.54560229,0.03578626278,12.38581491,281.6231961,3.108056872,1.682926829,2.508759464,2.505249245,0.07460879568,17.68229244,200.7007571,4689,4529,4619.3,4622.5,1212.060759,3121,369544,3.532838752,3.479270675,3.509842922,3.50986132,0.000125148812,1.000665317,280.7874338,3.512695959,3.458960034,3.483968808,3.482353066,0.0001595658334,1.14790744,278.7175046,4605,4443,4521.025,4521,830.0246835,2464,361682,3.531811128,3.478607847,3.505641097,3.505929272,0.0001016742855,0.8667166495,280.4512877,3.541926851,3.487585146,3.513448838,3.513848037,0.0001101249164,0.8171840362,281.0759071,flat,P2,5,constant
1175,207,865.775,910,42726.60696,13900,69262,4,3.227067669,3.588132591,3.600914348,0.01977848659,12.25979203,287.0506073,2.952229299,1.680497925,2.445487186,2.479756116,0.04969748929,14.05825835,195.6389748,4676,4554,4616.3,4617.5,871.6050633,2697,369304,3.53334777,3.487741376,3.50924536,3.508304661,0.0001078297028,0.8882106162,280.7396288,3.51683211,3.461043142,3.484855748,3.484911918,0.0001205873933,0.9593340942,278.7884598,4603,4432,4527,4524.5,955.4936709,2573,362160,3.534719151,3.489759965,3.509610039,3.510621532,8.86E-05,0.7563463522,280.7688031,3.545798133,3.492491839,3.513543237,3.51278112,9.34E-05,0.8732391011,281.083459,flat,P2,5,constant
1161,183,779.9875,794.5,20918.29098,10528,62399,3.951111111,3.124573379,3.530297416,3.523441648,0.02868286245,16.41658215,282.4237933,3.293333333,1.803754266,2.541478424,2.550326382,0.04702803018,17.1366554,203.3182739,4696,4552,4613.5875,4609.5,937.5618671,2821,369087,3.537126538,3.48540146,3.507443763,3.507153909,0.0001565875766,0.9706230587,280.5955011,3.507318123,3.464609409,3.484358474,3.48348423,0.0001031375117,0.8168295838,278.7486779,4609,4455,4540.15,4537.5,961.8,2842,363212,3.54068996,3.491492147,3.51057979,3.51020118,0.0001028424303,0.8598653327,280.8463832,3.538598048,3.487020191,3.510358012,3.509225115,0.0001189735782,1.050045525,280.828641,flat,P2,5,constant
1071,140,762.9625,823.5,44262.66946,16302,61037,3.870229008,2.50617284,3.449268719,3.47696117,0.05059558854,18.51948638,275.9414975,2.829516539,1.659090909,2.477087154,2.524809801,0.05679215467,17.48309703,198.1669723,4696,4515,4611.0125,4614,1485.936551,3545,368881,3.533711543,3.483752959,3.509331221,3.511476649,0.0001634003323,1.217755456,280.7464977,3.510610932,3.4625,3.485828991,3.486077528,0.0001287193885,1.000185623,278.8663193,4617,4474,4540.85,4540.5,881.4708861,2778,363268,3.535612536,3.479391669,3.507159706,3.508581465,0.0001067398776,0.8858729987,280.5727765,3.532207908,3.495614035,3.51347874,3.51369784,7.84E-05,0.8242197304,281.0782992,flat,P2,5,constant
1111,241,770.6,855,53486.24304,18148,61648,4.061936937,2.73280943,3.370687857,3.319967718,0.1050951099,14.94337602,269.6550286,3.401055409,1.20746888,2.341625707,2.458272987,0.2822304361,34.30397277,187.3300565,4653,4485,4566.5875,4570.5,1248.954272,3177,365327,3.535824856,3.490545295,3.514074511,3.514718794,0.0001305613654,0.9755919944,281.1259609,3.52399651,3.46768559,3.498013013,3.497935434,0.0001413498148,0.9999053624,279.841041,4574,4447,4509.025,4510,745.0626582,2145,360722,3.532703978,3.482036588,3.501817971,3.500166339,9.77E-05,0.8163655633,280.1454377,3.556914184,3.504601227,3.53037778,3.532009054,0.0001291408185,0.8850914067,282.4302224,flat,P2,6,constant
1066,250,806.825,829,36693.08291,14929,64546,4.28,3.389489954,3.887491564,3.875425557,0.03745862665,15.25738515,310.9993251,2.703125,1.16875,2.005494342,2.076826525,0.1153611835,27.4997975,160.4395473,4648,4463,4573.075,4572,1087.563924,2974,365846,3.536091549,3.484663911,3.508010478,3.507472679,0.000138113031,1.031874623,280.6408383,3.521701389,3.470753899,3.495950005,3.495787104,0.0001222539923,0.8876019705,279.6760004,4574,4438,4507.175,4509,887.9689873,2600,360574,3.508116522,3.446221249,3.489752542,3.491082219,0.0001120250228,0.9088169075,279.1802034,3.565422662,3.511689457,3.535639308,3.536271999,0.0001342101373,1.109064609,282.8511446,flat,P2,6,constant
