max,min,mean,median,var,totalvar,auc,Xmax,Xmin,Xmean,Xmedian,Xvar,Xtotalvar,Xauc,Ymax,Ymin,Ymean,Ymedian,Yvar,Ytotalvar,Yauc,maxY,minY,meanY,medianY,varY,totalvarY,aucY,XmaxY,XminY,XmeanY,XmedianY,XvarY,XtotalvarY,XaucY,YmaxY,YminY,YmeanY,YmedianY,YvarY,YtotalvarY,YaucY,filecount,gesture
227,14,111.2625,112,3910.879589,412,8901,5.3125,3.656,4.144486072,3.924573643,0.293342602,3.84695526,331.5588858,3.764705882,3.010526316,3.302858247,3.264883062,0.03284125393,3.07382779,264.2286598,4591,4570,4579.325,4579,19.91835443,124,366346,3.506116208,3.499235975,3.502312018,3.502348729,2.59E-06,0.04870468262,280.1849614,3.504918033,3.49956408,3.502017704,3.502075142,1.22E-06,0.0404152686,280.1614163,1,constant
351,167,260.1,274.5,3184.825316,600,20808,4.054474708,3.695431472,3.86896037,3.884427497,0.008912024341,1.655727711,309.5168296,3.425925926,2.950381679,3.179941823,3.154904648,0.01796304619,1.466417496,254.3953458,4586,4564,4576.9,4577,27.05316456,129,366152,3.503706934,3.496826439,3.50008592,3.499672418,4.00E-06,0.03921971936,280.0068736,3.504152098,3.498249453,3.50159213,3.501640424,1.79E-06,0.04077671904,280.1273704,1,constant
482,287,386.875,373.5,2971.908228,525,30950,4.138211382,3.617433414,3.85497668,3.877829849,0.02130430108,1.175815984,308.3981344,3.43452381,2.979452055,3.286613661,3.339345758,0.01694616522,1.199857319,262.9290929,4586,4563,4574.5375,4573,44.55553797,101,365963,3.506541648,3.498576746,3.502036957,3.502566897,5.74E-06,0.04164435559,280.1629565,3.505364572,3.499235641,3.502260178,3.501968504,2.28E-06,0.03948179716,280.1808143,1,constant
303,54,142.4625,123.5,4567.137816,457,11397,4.092592593,3.59375,3.825338219,3.797113752,0.009843837233,3.089548861,306.0270575,3.945454545,3.425742574,3.725359777,3.72509797,0.01337782038,2.47493255,298.0287822,4598,4585,4591.65,4592,9.318987342,104,367332,3.503705318,3.498367791,3.500771039,3.500489947,2.16E-06,0.03570788292,280.0616831,3.502721533,3.498366369,3.500860209,3.501034445,9.10E-07,0.03920634857,280.0688167,1,constant
107,41,79.15,79.5,301.8759494,251,6332,3.123076923,2.414634146,2.858130565,2.876798738,0.02579025705,3.418760919,228.6504452,3.780487805,3.076923077,3.400599282,3.421415005,0.02757825251,2.918823669,272.0479426,4587,4578,4582.525,4582,4.429746835,106,366602,3.507856831,3.504366812,3.506328364,3.506434024,6.33E-07,0.04407941239,280.5062691,3.50371017,3.49628983,3.500302708,3.500764025,3.89E-06,0.04234649994,280.0242167,2,constant
107,46,77.0375,76.5,282.9732595,227,6163,3.06557377,2.596491228,2.844979039,2.853571429,0.01172957304,3.576098953,227.5983231,3.857142857,3.294117647,3.506407081,3.52,0.02044416225,2.266273853,280.5125665,4587,4576,4581.4875,4581.5,6.708702532,114,366519,3.507863696,3.503052769,3.505425545,3.505564041,1.01E-06,0.04608990025,280.4340436,3.501529052,3.496943231,3.499122889,3.499127209,1.18E-06,0.03928811776,279.9298311,2,constant
93,32,65.25,65.5,232.8481013,245,5220,3.121621622,2.34375,2.799150527,2.813888889,0.02516489432,4.497715213,223.9320422,3.682926829,3.158730159,3.410960883,3.422882883,0.01642105022,2.93514431,272.8768707,4591,4576,4583.6375,4584,14.20870253,98,366691,3.507417103,3.501199564,3.504571984,3.504636118,2.11E-06,0.04033538001,280.3657587,3.502073783,3.496947231,3.500058857,3.500381751,1.00E-06,0.04231933594,280.0047085,2,constant
83,43,62.9375,63,83.40110759,207,5035,3.239130435,2.627906977,2.889274262,2.878676471,0.01587972322,3.848283939,231.141941,3.73015873,3.156626506,3.402799227,3.355042017,0.02009682438,3.463484682,272.2239382,4592,4580,4585.75,4585.5,6.063291139,107,366860,3.505997819,3.501853063,3.504042736,3.504034896,1.18E-06,0.03527145781,280.3234189,3.50185468,3.498037505,3.500180155,3.500272652,9.77E-07,0.03609007196,280.0144124,2,constant
231,119,179.7,183,624.1113924,258,14376,4.098484848,3.84279476,3.978416708,3.984250992,0.003801771174,1.860541414,318.2733367,3.244186047,2.995098039,3.132352069,3.141698842,0.004155195173,1.733602711,250.5881655,4587,4573,4579.75,4580,12.69620253,111,366380,3.505684303,3.501526385,3.503458629,3.503496503,1.08E-06,0.03569842861,280.2766903,3.50437254,3.499235307,3.501883588,3.501745201,1.36E-06,0.03965271533,280.1506871,3,constant
261,59,144.6875,105,6235.559335,302,11575,4.881355932,3.856,4.40258572,4.477011494,0.08235290946,3.543417782,352.2068576,4.65,3.01953125,3.728291766,3.906666667,0.2659636342,3.834041771,298.2633413,4605,4571,4588.4625,4588,92.78338608,95,367077,3.511198087,3.50328084,3.507496824,3.508173496,5.33E-06,0.04107722612,280.5997459,3.505764629,3.498478922,3.502852665,3.503597122,4.63E-06,0.03933650818,280.2282132,3,constant
