maxX,minX,meanX,medianX,varX,totalvarX,aucX,XmaxX,XminX,XmeanX,XmedianX,XvarX,XtotalvarX,XaucX,YmaxX,YminX,YmeanX,YmedianX,YvarX,YtotalvarX,YaucX,maxY,minY,meanY,medianY,varY,totalvarY,aucY,XmaxY,XminY,XmeanY,XmedianY,XvarY,XtotalvarY,XaucY,YmaxY,YminY,YmeanY,YmedianY,YvarY,YtotalvarY,YaucY,filecount,gesture
4607,4587,4595.9125,4595,23.2960443,120,367673,3.501195392,3.493899782,3.497694369,3.497931185,2.06E-06,0.04286678747,279.8155495,3.502939255,3.499673416,3.500945418,3.500760705,6.17E-07,0.03613251838,280.0756334,4591,4570,4579.325,4579,19.91835443,124,366346,3.506116208,3.499235975,3.502312018,3.502348729,2.59E-06,0.04870468262,280.1849614,3.504918033,3.49956408,3.502017704,3.502075142,1.22E-06,0.0404152686,280.1614163,1,constant
4609,4593,4600.7625,4601,15.42389241,122,368061,3.502062975,3.496956522,3.499664496,3.499673771,1.34E-06,0.04412895677,279.9731597,3.502499457,3.495,3.498751714,3.498966149,4.07E-06,0.0488918225,279.9001371,4586,4564,4576.9,4577,27.05316456,129,366152,3.503706934,3.496826439,3.50008592,3.499672418,4.00E-06,0.03921971936,280.0068736,3.504152098,3.498249453,3.50159213,3.501640424,1.79E-06,0.04077671904,280.1273704,1,constant
4612,4594,4603.8625,4604,16.42389241,116,368309,3.505432421,3.498260113,3.502428143,3.502606996,1.96E-06,0.05324878825,280.1942514,3.500761035,3.493918332,3.49723319,3.497394089,4.12E-06,0.04083583948,279.7786552,4586,4563,4574.5375,4573,44.55553797,101,365963,3.506541648,3.498576746,3.502036957,3.502566897,5.74E-06,0.04164435559,280.1629565,3.505364572,3.499235641,3.502260178,3.501968504,2.28E-06,0.03948179716,280.1808143,1,constant
4602,4584,4594.6375,4594.5,18.23401899,108,367571,3.50359086,3.498261625,3.500912881,3.500870133,1.21E-06,0.03460750335,280.0730305,3.505559189,3.498803568,3.501960909,3.501848631,1.71E-06,0.04594591144,280.1568727,4598,4585,4591.65,4592,9.318987342,104,367332,3.503705318,3.498367791,3.500771039,3.500489947,2.16E-06,0.03570788292,280.0616831,3.502721533,3.498366369,3.500860209,3.501034445,9.10E-07,0.03920634857,280.0688167,1,constant
4590,4577,4583.2125,4583,9.131487342,123,366657,3.501418285,3.495200698,3.498747053,3.498636431,2.12E-06,0.04549452131,279.8997642,3.49814451,3.494982548,3.496810463,3.496943231,4.55E-07,0.03457581321,279.7448371,4587,4578,4582.525,4582,4.429746835,106,366602,3.507856831,3.504366812,3.506328364,3.506434024,6.33E-07,0.04407941239,280.5062691,3.50371017,3.49628983,3.500302708,3.500764025,3.89E-06,0.04234649994,280.0242167,2,constant
4593,4580,4585.975,4586,7.847468354,108,366878,3.502944384,3.497276095,3.500084791,3.499891091,1.35E-06,0.04579574082,280.0067833,3.49912854,3.494004796,3.496254696,3.496079285,1.03E-06,0.0473017431,279.7003757,4587,4576,4581.4875,4581.5,6.708702532,114,366519,3.507863696,3.503052769,3.505425545,3.505564041,1.01E-06,0.04608990025,280.4340436,3.501529052,3.496943231,3.499122889,3.499127209,1.18E-06,0.03928811776,279.9298311,2,constant
4588,4575,4582.2375,4582,8.613765823,121,366579,3.501528384,3.496613502,3.499060281,3.499127019,1.19E-06,0.04877211015,279.9248225,3.499563509,3.494107377,3.49698148,3.497162809,1.66E-06,0.04353570794,279.7585184,4591,4576,4583.6375,4584,14.20870253,98,366691,3.507417103,3.501199564,3.504571984,3.504636118,2.11E-06,0.04033538001,280.3657587,3.502073783,3.496947231,3.500058857,3.500381751,1.00E-06,0.04231933594,280.0047085,2,constant
4585,4575,4580.8375,4581,5.099841772,102,366467,3.501528384,3.497927122,3.499944202,3.500109146,6.61E-07,0.0406062159,279.9955361,3.50010929,3.494764398,3.497553932,3.497599302,1.24E-06,0.04277365735,279.8043146,4592,4580,4585.75,4585.5,6.063291139,107,366860,3.505997819,3.501853063,3.504042736,3.504034896,1.18E-06,0.03527145781,280.3234189,3.50185468,3.498037505,3.500180155,3.500272652,9.77E-07,0.03609007196,280.0144124,2,constant
4606,4593,4600.6375,4601,8.816297468,98,368051,3.502607562,3.497933435,3.500414293,3.500434594,1.14E-06,0.04977506852,280.0331434,3.498044329,3.49488797,3.496474632,3.496411483,5.77E-07,0.04065342736,279.7179706,4587,4573,4579.75,4580,12.69620253,111,366380,3.505684303,3.501526385,3.503458629,3.503496503,1.08E-06,0.03569842861,280.2766903,3.50437254,3.499235307,3.501883588,3.501745201,1.36E-06,0.03965271533,280.1506871,3,constant
4609,4576,4589.725,4589,114.3031646,130,367178,3.503368833,3.494651823,3.49936306,3.500217723,6.53E-06,0.04576091959,279.9490448,3.501745962,3.494677384,3.497751533,3.497826087,1.89E-06,0.04056266797,279.8201227,4605,4571,4588.4625,4588,92.78338608,95,367077,3.511198087,3.50328084,3.507496824,3.508173496,5.33E-06,0.04107722612,280.5997459,3.505764629,3.498478922,3.502852665,3.503597122,4.63E-06,0.03933650818,280.2282132,3,constant
