"max","min","mean","median","var","totalvar","auc","Xmax","Xmin","Xmean","Xmedian","Xvar","Xtotalvar","Xauc","Ymax","Ymin","Ymean","Ymedian","Yvar","Ytotalvar","Yauc","subcondition","subject","filecount","gesture"
"996","113","687.75","732.5","35221.9113924051","13159","55020","3.22962962962963","2.21960784313726","2.84182722910165","2.87705683918352","0.0546076268281512","16.9557578706814","227.346178328132","5.16108786610879","1.42523364485981","2.59111789938923","2.38793572984749","0.66142636657151","26.8534918970405","207.289431951139","flat","P2","1","constant"
"966","162","746.65","783","32970.053164557","12058","59732","3.35285714285714","2.18862275449102","2.89939295225858","2.93508241084855","0.0549086255895796","15.5313422975641","231.951436180686","2.80314960629921","1.37037037037037","2.30881702814869","2.38494648740812","0.0953530396169259","19.2822605943236","184.705362251895","flat","P2","1","constant"
"1058","188","761.9125","809","42078.9669303797","16644","60953","3.2972972972973","2.02777777777778","2.93216803986313","2.98914057640473","0.0692948655971754","20.1403689639956","234.573443189051","3.09034267912773","1.38823529411765","2.34710628249161","2.41748631693499","0.110431327590085","26.7446021315232","187.768502599329","flat","P2","1","constant"
"972","163","731.225","764","37256.7335443038","15783","58498","3.25236966824645","2.12135922330097","2.90374950801065","2.96912738285285","0.0725910596746551","22.9023247373259","232.299960640852","2.8961038961039","1.48326359832636","2.34947520840445","2.39131407918297","0.085735085511341","23.8716535162333","187.958016672356","flat","P2","1","constant"
"1295","222","968.775","1027.5","50719.9234177215","17845","77502","3.95287958115183","3.05466237942122","3.5202899511225","3.54560229046751","0.0357862627804424","12.385814909791","281.6231960898","3.10805687203791","1.68292682926829","2.50875946376078","2.50524924488875","0.0746087956820799","17.682292436403","200.700757100863","flat","P2","5","constant"
"1175","207","865.775","910","42726.6069620253","13900","69262","4","3.22706766917293","3.588132590946","3.60091434828506","0.0197784865864673","12.2597920288258","287.05060727568","2.95222929936306","1.6804979253112","2.44548718551239","2.47975611571616","0.0496974892926012","14.0582583463971","195.638974840992","flat","P2","5","constant"
"1161","183","779.9875","794.5","20918.2909810127","10528","62399","3.95111111111111","3.12457337883959","3.53029741620148","3.52344164759725","0.0286828624463866","16.4165821471561","282.423793296118","3.29333333333333","1.8037542662116","2.54147842365695","2.55032638219574","0.0470280301795115","17.1366554025317","203.318273892556","flat","P2","5","constant"
"1071","140","762.9625","823.5","44262.6694620253","16302","61037","3.87022900763359","2.50617283950617","3.44926871899968","3.47696117014299","0.0505955885405488","18.5194863774949","275.941497519975","2.8295165394402","1.65909090909091","2.47708715386385","2.5248098008503","0.0567921546729509","17.48309703304","198.166972309108","flat","P2","5","constant"
"1111","241","770.6","855","53486.2430379747","18148","61648","4.06193693693694","2.7328094302554","3.37068785728699","3.31996771842133","0.105095109934896","14.9433760179675","269.65502858296","3.40105540897098","1.20746887966805","2.3416257066297","2.458272986614","0.282230436068911","34.3039727702571","187.330056530376","flat","P2","6","constant"
"1066","250","806.825","829","36693.0829113924","14929","64546","4.28","3.38948995363215","3.88749156397","3.87542555675194","0.0374586266470735","15.2573851473407","310.9993251176","2.703125","1.16875","2.0054943417228","2.07682652535027","0.115361183457084","27.4997974990552","160.439547337824","flat","P2","6","constant"
