"max","min","mean","median","var","totalvar","auc","Xmax","Xmin","Xmean","Xmedian","Xvar","Xtotalvar","Xauc","Ymax","Ymin","Ymean","Ymedian","Yvar","Ytotalvar","Yauc","subcondition","subject","filecount","gesture"
"4607","4587","4595.9125","4595","23.2960443037975","120","367673","3.50119539230602","3.49389978213508","3.49769436884586","3.49793118457088","2.0623774396222e-06","0.0428667874721822","279.815549507669","3.50293925538863","3.49967341606793","3.50094541764621","3.50076070476969","6.16727282836883e-07","0.0361325183770531","280.075633411697","flat","P1b","1","constant"
"4609","4593","4600.7625","4601","15.4238924050633","122","368061","3.50206297502714","3.49695652173913","3.49966449591007","3.499673771066","1.34358617586109e-06","0.0441289567734247","279.973159672805","3.50249945663986","3.495","3.49875171415507","3.49896614925178","4.07061570639493e-06","0.0488918225047814","279.900137132406","flat","P1b","1","constant"
"4612","4594","4603.8625","4604","16.4238924050633","116","368309","3.50543242068666","3.49826011309265","3.5024281429375","3.5026069955608","1.95508644627916e-06","0.0532487882524886","280.194251435","3.50076103500761","3.49391833188532","3.49723318957888","3.49739408915987","4.11659260470419e-06","0.0408358394802573","279.77865516631","flat","P1b","1","constant"
"4602","4584","4594.6375","4594.5","18.2340189873418","108","367571","3.50359085963003","3.49826162538027","3.50091288087235","3.50087013273641","1.21375621057555e-06","0.0346075033533566","280.073030469788","3.50555918901243","3.49880356754405","3.50196090935266","3.50184863062602","1.7079797013215e-06","0.0459459114383374","280.156872748213","flat","P1b","1","constant"
"4590","4577","4583.2125","4583","9.13148734177215","123","366657","3.50141828496618","3.49520069808028","3.49874705310993","3.49863643092524","2.11934698751752e-06","0.0454945213120643","279.899764248794","3.49814450993233","3.49498254799302","3.49681046338496","3.49694323144105","4.54529759452889e-07","0.034575813211335","279.744837070797","flat","P1b","2","constant"
"4593","4580","4585.975","4586","7.84746835443038","108","366878","3.50294438386041","3.49727609500981","3.5000847911192","3.49989109126552","1.34553899428963e-06","0.0457957408230962","280.006783289536","3.49912854030501","3.49400479616307","3.49625469564111","3.49607928537269","1.02648842639964e-06","0.047301743099541","279.700375651289","flat","P1b","2","constant"
"4588","4575","4582.2375","4582","8.61376582278481","121","366579","3.50152838427948","3.49661350229408","3.49906028091583","3.4991270187691","1.18693208703875e-06","0.0487721101534193","279.924822473267","3.49956350938455","3.4941073766914","3.49698147996806","3.49716280883735","1.65645713818601e-06","0.043535707942544","279.758518397445","flat","P1b","2","constant"
"4585","4575","4580.8375","4581","5.0998417721519","102","366467","3.50152838427948","3.49792712197251","3.49994420183413","3.50010914647457","6.6073940636703e-07","0.0406062158955862","279.99553614673","3.50010928961749","3.49476439790576","3.49755393229952","3.49759930161502","1.23539038535779e-06","0.0427736573531026","279.804314583961","flat","P1b","2","constant"
"4606","4593","4600.6375","4601","8.81629746835443","98","368051","3.5026075619296","3.49793343484881","3.5004142927841","3.50043459373701","1.14493085630466e-06","0.0497750685199883","280.033143422728","3.4980443285528","3.49488797041549","3.4964746324379","3.49641148308385","5.7710555247281e-07","0.0406534273590853","279.717970595032","flat","P1b","3","constant"
"4609","4576","4589.725","4589","114.303164556962","130","367178","3.50336883286242","3.49465182274613","3.49936306022709","3.50021772274512","6.53102106572955e-06","0.045760919586884","279.949044818167","3.50174596246181","3.49467738431458","3.49775153313778","3.49782608654557","1.88970063307199e-06","0.040562667966098","279.820122651022","flat","P1b","3","constant"
"4586","4574","4578.1","4577.5","8.97721518987342","105","366248","3.50043668122271","3.49530054644809","3.49765679308698","3.49721404579278","2.14631621405088e-06","0.0448860002146687","279.812543446959","3.50240174672489","3.49704918032787","3.49971846307631","3.49967213114754","1.2372993399708e-06","0.0376807695755739","279.977477046105","flat","P1b","3","constant"
"4583","4569","4576.55","4576","9.44050632911392","126","366124","3.50043706293706","3.49519440803844","3.49732351223315","3.49705046748726","1.38825250925571e-06","0.0447760860856494","279.785880978652","3.50185954933275","3.49792349726776","3.49983620347031","3.4999454029264","7.8682088162628e-07","0.0347392601746495","279.986896277625","flat","P1b","3","constant"
"4607","4571","4592.7125","4597.5","109.422626582278","104","367417","3.5026235242676","3.49445531637312","3.49875185460657","3.49918206754825","3.84495116584163e-06","0.0457456078099798","279.900148368526","3.50206566644923","3.49857861360157","3.50036842753723","3.50054336024177","6.74376925113403e-07","0.0453167936291212","280.029474202978","flat","P1b","4","constant"
"4606","4589","4596.325","4595","21.0322784810127","97","367706","3.50021767522856","3.49412276882891","3.49743813087198","3.49738846461043","1.69063892052067e-06","0.0431906809397908","279.795050469758","3.50348280365694","3.49445772658118","3.49946582191956","3.5","5.0119625999844e-06","0.0473191363632397","279.957265753565","flat","P1b","4","constant"
"4597","4580","4589.4875","4590","17.7466772151899","109","367159","3.49934497816594","3.49193548387097","3.49607773672814","3.49635198326372","3.66447175151466e-06","0.034117068728484","279.686218938251","3.50512988430474","3.49923797082517","3.50260821854296","3.50288890720671","1.80434282559516e-06","0.0334543972133732","280.208657483437","flat","P1b","4","constant"
"4606","4588","4595.95","4597","19.9974683544304","103","367676","3.50130605137135","3.49487905861844","3.49834032980734","3.49864117422891","3.12681720226366e-06","0.0384159120288601","279.867226384587","3.50588491717524","3.49814855151383","3.50239618871073","3.50261380975154","2.50700216268536e-06","0.034727975068936","280.191695096859","flat","P1b","4","constant"
"4598","4566","4582.7","4585","104.794936708861","126","366616","3.50174291938998","3.4948543901905","3.49858097747817","3.49891050671939","3.25483814856945e-06","0.0464821927613315","279.886478198254","3.49782135076253","3.4901617839965","3.4944027064672","3.49427040396499","4.00631218017355e-06","0.0392574566030621","279.552216517376","flat","P1b","5","constant"
"4599","4586","4591.9625","4591","10.5935126582278","106","367357","3.50305010893246","3.49901982138968","3.50092712041894","3.5007616267791","1.17311641304274e-06","0.0405071407052979","280.074169633515","3.4967362924282","3.49249510550359","3.49498185668872","3.49499019797621","8.70425520541017e-07","0.042661793720705","279.598548535098","flat","P1b","5","constant"
"4593","4584","4589.3625","4589","4.61376582278481","112","367149","3.50305276929786","3.49694989106754","3.49996319109874","3.5","2.65684946990555e-06","0.0546987259823419","279.997055287899","3.49673060156931","3.49216027874564","3.4942190647406","3.49411764705882","7.5827980169735e-07","0.0466364388666465","279.537525179248","flat","P1b","5","constant"
"4593","4582","4587.6625","4588","4.40363924050633","96","367013","3.50457715780296","3.49531284063658","3.50017052924314","3.50059944910838","4.61494120868168e-06","0.0479564635784966","280.013642339451","3.49672917575229","3.49193548387097","3.49412987068765","3.49411508282476","1.23269530800659e-06","0.0420452647419731","279.530389655012","flat","P1b","5","constant"
"4602","4583","4592.6875","4594","24.6732594936709","124","367415","3.50054501853063","3.49488797041549","3.49769162867197","3.49782419495213","2.52199949256797e-06","0.0435489063249364","279.815330293757","3.49792983220745","3.49261190786615","3.49472209548638","3.49443959639942","1.54765273153101e-06","0.0391681921752682","279.57776763891","flat","P1b","6","constant"
"4598","4586","4591.95","4592","8.57974683544304","123","367356","3.50065387968614","3.49521322889469","3.49776016950847","3.49760557248585","1.46629768140412e-06","0.0469240726789568","279.820813560678","3.49836636898279","3.49074678859133","3.49443670978353","3.4942278359771","3.88977630837627e-06","0.0471602983049175","279.554936782682","flat","P1b","6","constant"
"4598","4588","4593.25","4593","4.82278481012658","107","367460","3.49880304678999","3.49325206791467","3.49603772467227","3.49608013937282","1.79580514150464e-06","0.0484313985966134","279.683017973781","3.49673487157162","3.49183540169824","3.49379802831934","3.49379625569212","1.00745002640056e-06","0.0456317807708588","279.503842265547","flat","P1b","6","constant"
"4601","4585","4591.925","4591","11.6905063291139","118","367354","3.50043535045712","3.49292093225877","3.4966435568489","3.49684508253123","2.61928661833086e-06","0.0496438213463812","279.731484547912","3.49542084605321","3.49084568439407","3.49273489996374","3.49249183895539","1.27458284102812e-06","0.0437891089189355","279.418791997099","flat","P1b","6","constant"
"4587","4558","4568.575","4568","33.9183544303797","156","365486","3.50926531502071","3.49189662724485","3.49490936568331","3.49458128671498","4.91504388860347e-06","0.0739357264224054","279.592749254665","3.50381512971441","3.49266476899496","3.49671221560104","3.49600262236378","6.48040383694621e-06","0.0544703536987541","279.736977248083","flat","P1b","7","constant"
"4578","4556","4567.7875","4567","25.4352848101266","132","365423","3.50142138639843","3.49245901639344","3.49768215317314","3.49835742436274","6.10899030903995e-06","0.0510241936280624","279.814572253851","3.50197281893906","3.4958460865763","3.49937216162282","3.49934282581731","1.50183005465219e-06","0.0468639075130564","279.949772929826","flat","P1b","7","constant"
"4580","4568","4574.275","4574","6.78417721518987","110","365942","3.50054692627434","3.49595981655383","3.49825406490413","3.49836029725438","1.11965232105123e-06","0.038912613504301","279.860325192331","3.50229608572053","3.49737762237762","3.50004359469429","3.50032779721845","1.60994129714381e-06","0.0421895304013034","280.003487575543","flat","P1b","7","constant"
"4579","4563","4570.45","4570","14.1746835443038","117","365636","3.50142138639843","3.49507766353096","3.49737459831688","3.49715598323733","2.10546570800776e-06","0.0488838555853266","279.78996786535","3.50273702649442","3.49770592090889","3.49992677530784","3.50010945714003","1.64142231163476e-06","0.0478114402177159","279.994142024627","flat","P1b","7","constant"
"4606","4583","4593.625","4594","29.5537974683544","130","367490","3.50927340170194","3.4966252993686","3.50433279509702","3.50468103991001","9.54398539674408e-06","0.0509680370093517","280.346623607762","3.50523331879634","3.49945687595047","3.5022724934858","3.50223184863939","2.02825452862283e-06","0.0498724230032632","280.181799478864","flat","P1b","1","freeplay"
"4625","4575","4604.9875","4609","170.54414556962","142","368399","3.509765625","3.49978156400175","3.50548687616481","3.50591039419846","6.22785869003096e-06","0.0490826509230509","280.438950093185","3.50710382513661","3.49189189189189","3.49859464558257","3.49766838308171","1.4171681975977e-05","0.054013471757409","279.887571646606","flat","P1b","1","freeplay"
"4631","4573","4611.5125","4618","278.101107594937","142","368921","3.50875297168792","3.50262237762238","3.50585797709231","3.50587090394134","2.19016056488786e-06","0.0468417944103221","280.468638167384","3.51585392521321","3.48919152615651","3.49751657015142","3.49361195053061","6.35651486542906e-05","0.0632149130874344","279.801325612114","flat","P1b","1","freeplay"
"4623","4581","4607.6","4609","75.6860759493671","131","368608","3.50890916992612","3.49411251635412","3.50343120092957","3.50390709807859","1.04813485339314e-05","0.0522391633407375","280.274496074366","3.51386160227025","3.49685534591195","3.50210573643441","3.5015181089415","1.28832456122555e-05","0.0542035755169881","280.168458914753","flat","P1b","1","freeplay"
"4615","4581","4598.6625","4599.5","112.479588607595","201","367893","3.50130775937228","3.49121665582303","3.49751652362745","3.49781897481446","4.53310408896102e-06","0.0592359774211824","279.801321890196","3.5078431372549","3.49653078924545","3.50185630117484","3.50179597568368","7.27972258053435e-06","0.0540846727783677","280.148504093987","flat","P1b","2","freeplay"
"4614","4565","4587","4583.5","209.417721518987","184","366960","3.51544359255203","3.48937093275488","3.50381480808699","3.50544921349366","5.27910440273805e-05","0.0702706321245059","280.30518464696","3.50788091068301","3.4963918652963","3.50109991520764","3.50087280122924","6.34043405206651e-06","0.0611195136609415","280.087993216611","flat","P1b","2","freeplay"
"4609","4570","4591.5","4593","99.1139240506329","199","367320","3.50916630292449","3.4991254919108","3.50405398718002","3.50478258529218","7.55617696693033e-06","0.0518039028936941","280.324318974402","3.51129943502825","3.49956408020924","3.5046868957682","3.50380683126223","9.22619288833856e-06","0.0600724201306666","280.374951661456","flat","P1b","2","freeplay"
"4609","4556","4591.0125","4596","252.670727848101","171","367281","3.50526777875329","3.49815096802262","3.50071421112304","3.50010850694955","3.38947787193576e-06","0.0422053712780688","280.057136889843","3.50434216239687","3.49440666812898","3.49916587535119","3.49890998049334","4.89946936745399e-06","0.0445873934692234","279.933270028095","flat","P1b","2","freeplay"
"4619","4571","4593.725","4593.5","191.822151898734","183","367498","3.50568181818182","3.49426282745183","3.4996222671725","3.49885770704797","1.0921600179516e-05","0.0515052309551249","279.9697813738","3.50973528768322","3.49674620390456","3.50179811346806","3.50114449368153","7.32407935256979e-06","0.0532922734754222","280.143849077445","flat","P1b","3","freeplay"
"4615","4584","4597.8625","4596.5","98.3732594936709","121","367829","3.50730324831044","3.49652476107732","3.50223845756418","3.50250054359643","8.43061346367667e-06","0.0469029452872021","280.179076605134","3.50468715936342","3.49651264167393","3.50055443860253","3.50108506944444","4.43821931718226e-06","0.0418863551495878","280.044355088202","flat","P1b","3","freeplay"
