"filename","condition","subject","gesture","count"
"shearx_P1_constant_1_FLAT.csv","flat","P1","constant","1"
"shearx_P1_constant_2_FLAT.csv","flat","P1","constant","2"
"shearx_P1_constant_3_FLAT.csv","flat","P1","constant","3"
"shearx_P1_constant_4_FLAT.csv","flat","P1","constant","4"
"shearx_P1_constant_5_FLAT.csv","flat","P1","constant","5"
"shearx_P1_constant_6_FLAT.csv","flat","P1","constant","6"
"shearx_P1_constant_7_FLAT.csv","flat","P1","constant","7"
"shearx_P1_constant_8_FLAT.csv","flat","P1","constant","8"
"shearx_P1_freeplay_1_FLAT.csv","flat","P1","freeplay","1"
"shearx_P1_freeplay_2_FLAT.csv","flat","P1","freeplay","2"
"shearx_P1_freeplay_3_FLAT.csv","flat","P1","freeplay","3"
"shearx_P1_freeplay_4_FLAT.csv","flat","P1","freeplay","4"
"shearx_P1_freeplay_5_FLAT.csv","flat","P1","freeplay","5"
"shearx_P1_freeplay_6_FLAT.csv","flat","P1","freeplay","6"
"shearx_P1_freeplay_7_FLAT.csv","flat","P1","freeplay","7"
"shearx_P1_freeplay_8_FLAT.csv","flat","P1","freeplay","8"
"shearx_P1_no_1_FLAT.csv","flat","P1","no","1"
"shearx_P1_no_2_FLAT.csv","flat","P1","no","2"
"shearx_P1_no_3_FLAT.csv","flat","P1","no","3"
"shearx_P1_no_4_FLAT.csv","flat","P1","no","4"
"shearx_P1_no_5_FLAT.csv","flat","P1","no","5"
"shearx_P1_no_6_FLAT.csv","flat","P1","no","6"
"shearx_P1_no_7_FLAT.csv","flat","P1","no","7"
"shearx_P1_no_8_FLAT.csv","flat","P1","no","8"
"shearx_P1_pat_1_FLAT.csv","flat","P1","pat","1"
"shearx_P1_pat_2_FLAT.csv","flat","P1","pat","2"
"shearx_P1_pat_3_FLAT.csv","flat","P1","pat","3"
"shearx_P1_pat_4_FLAT.csv","flat","P1","pat","4"
"shearx_P1_pat_5_FLAT.csv","flat","P1","pat","5"
"shearx_P1_pat_6_FLAT.csv","flat","P1","pat","6"
"shearx_P1_pat_7_FLAT.csv","flat","P1","pat","7"
"shearx_P1_pat_8_FLAT.csv","flat","P1","pat","8"
"shearx_P1_pinch_1_FLAT.csv","flat","P1","pinch","1"
"shearx_P1_pinch_2_FLAT.csv","flat","P1","pinch","2"
"shearx_P1_pinch_3_FLAT.csv","flat","P1","pinch","3"
"shearx_P1_pinch_4_FLAT.csv","flat","P1","pinch","4"
"shearx_P1_pinch_5_FLAT.csv","flat","P1","pinch","5"
"shearx_P1_pinch_6_FLAT.csv","flat","P1","pinch","6"
"shearx_P1_pinch_7_FLAT.csv","flat","P1","pinch","7"
"shearx_P1_pinch_8_FLAT.csv","flat","P1","pinch","8"
"shearx_P1_poke_1_FLAT.csv","flat","P1","poke","1"
"shearx_P1_poke_2_FLAT.csv","flat","P1","poke","2"
"shearx_P1_poke_3_FLAT.csv","flat","P1","poke","3"
"shearx_P1_poke_4_FLAT.csv","flat","P1","poke","4"
"shearx_P1_poke_5_FLAT.csv","flat","P1","poke","5"
"shearx_P1_poke_6_FLAT.csv","flat","P1","poke","6"
"shearx_P1_poke_7_FLAT.csv","flat","P1","poke","7"
"shearx_P1_poke_8_FLAT.csv","flat","P1","poke","8"
"shearx_P1_rub_1_FLAT.csv","flat","P1","rub","1"
"shearx_P1_rub_2_FLAT.csv","flat","P1","rub","2"
"shearx_P1_rub_3_FLAT.csv","flat","P1","rub","3"
"shearx_P1_rub_4_FLAT.csv","flat","P1","rub","4"
"shearx_P1_rub_5_FLAT.csv","flat","P1","rub","5"
"shearx_P1_rub_6_FLAT.csv","flat","P1","rub","6"
"shearx_P1_rub_7_FLAT.csv","flat","P1","rub","7"
"shearx_P1_rub_8_FLAT.csv","flat","P1","rub","8"
"shearx_P1_scratch_1_FLAT.csv","flat","P1","scratch","1"
"shearx_P1_scratch_2_FLAT.csv","flat","P1","scratch","2"
"shearx_P1_scratch_3_FLAT.csv","flat","P1","scratch","3"
"shearx_P1_scratch_4_FLAT.csv","flat","P1","scratch","4"
"shearx_P1_scratch_5_FLAT.csv","flat","P1","scratch","5"
"shearx_P1_scratch_6_FLAT.csv","flat","P1","scratch","6"
"shearx_P1_scratch_7_FLAT.csv","flat","P1","scratch","7"
"shearx_P1_scratch_8_FLAT.csv","flat","P1","scratch","8"
"shearx_P1_stroke_1_FLAT.csv","flat","P1","stroke","1"
"shearx_P1_stroke_2_FLAT.csv","flat","P1","stroke","2"
"shearx_P1_stroke_3_FLAT.csv","flat","P1","stroke","3"
"shearx_P1_stroke_4_FLAT.csv","flat","P1","stroke","4"
"shearx_P1_stroke_5_FLAT.csv","flat","P1","stroke","5"
"shearx_P1_stroke_6_FLAT.csv","flat","P1","stroke","6"
"shearx_P1_stroke_7_FLAT.csv","flat","P1","stroke","7"
"shearx_P1_stroke_8_FLAT.csv","flat","P1","stroke","8"
"shearx_P1_tap_1_FLAT.csv","flat","P1","tap","1"
"shearx_P1_tap_2_FLAT.csv","flat","P1","tap","2"
"shearx_P1_tap_3_FLAT.csv","flat","P1","tap","3"
"shearx_P1_tap_4_FLAT.csv","flat","P1","tap","4"
"shearx_P1_tap_5_FLAT.csv","flat","P1","tap","5"
"shearx_P1_tap_6_FLAT.csv","flat","P1","tap","6"
"shearx_P1_tap_7_FLAT.csv","flat","P1","tap","7"
"shearx_P1_tap_8_FLAT.csv","flat","P1","tap","8"
"shearx_P1_tickle_1_FLAT.csv","flat","P1","tickle","1"
"shearx_P1_tickle_2_FLAT.csv","flat","P1","tickle","2"
"shearx_P1_tickle_3_FLAT.csv","flat","P1","tickle","3"
"shearx_P1_tickle_4_FLAT.csv","flat","P1","tickle","4"
"shearx_P1_tickle_5_FLAT.csv","flat","P1","tickle","5"
"shearx_P1_tickle_6_FLAT.csv","flat","P1","tickle","6"
"shearx_P1_tickle_7_FLAT.csv","flat","P1","tickle","7"
"shearx_P1_tickle_8_FLAT.csv","flat","P1","tickle","8"
"shearx_P10_constant_1_FLAT.csv","flat","P10","constant","1"
"shearx_P10_constant_2_FLAT.csv","flat","P10","constant","2"
"shearx_P10_constant_3_FLAT.csv","flat","P10","constant","3"
"shearx_P10_constant_4_FLAT.csv","flat","P10","constant","4"
"shearx_P10_constant_5_FLAT.csv","flat","P10","constant","5"
"shearx_P10_constant_6_FLAT.csv","flat","P10","constant","6"
"shearx_P10_constant_7_FLAT.csv","flat","P10","constant","7"
"shearx_P10_constant_8_FLAT.csv","flat","P10","constant","8"
"shearx_P10_freeplay_1_FLAT.csv","flat","P10","freeplay","1"
"shearx_P10_freeplay_2_FLAT.csv","flat","P10","freeplay","2"
"shearx_P10_freeplay_3_FLAT.csv","flat","P10","freeplay","3"
"shearx_P10_freeplay_4_FLAT.csv","flat","P10","freeplay","4"
"shearx_P10_freeplay_5_FLAT.csv","flat","P10","freeplay","5"
"shearx_P10_freeplay_6_FLAT.csv","flat","P10","freeplay","6"
"shearx_P10_freeplay_7_FLAT.csv","flat","P10","freeplay","7"
"shearx_P10_freeplay_8_FLAT.csv","flat","P10","freeplay","8"
"shearx_P10_no_1_FLAT.csv","flat","P10","no","1"
"shearx_P10_no_2_FLAT.csv","flat","P10","no","2"
"shearx_P10_no_3_FLAT.csv","flat","P10","no","3"
"shearx_P10_no_4_FLAT.csv","flat","P10","no","4"
"shearx_P10_no_5_FLAT.csv","flat","P10","no","5"
"shearx_P10_no_6_FLAT.csv","flat","P10","no","6"
"shearx_P10_no_7_FLAT.csv","flat","P10","no","7"
"shearx_P10_pat_1_FLAT.csv","flat","P10","pat","1"
"shearx_P10_pat_2_FLAT.csv","flat","P10","pat","2"
"shearx_P10_pat_3_FLAT.csv","flat","P10","pat","3"
"shearx_P10_pat_4_FLAT.csv","flat","P10","pat","4"
"shearx_P10_pat_5_FLAT.csv","flat","P10","pat","5"
"shearx_P10_pat_6_FLAT.csv","flat","P10","pat","6"
"shearx_P10_pat_7_FLAT.csv","flat","P10","pat","7"
"shearx_P10_pat_8_FLAT.csv","flat","P10","pat","8"
"shearx_P10_pinch_1_FLAT.csv","flat","P10","pinch","1"
"shearx_P10_pinch_2_FLAT.csv","flat","P10","pinch","2"
"shearx_P10_pinch_3_FLAT.csv","flat","P10","pinch","3"
"shearx_P10_pinch_4_FLAT.csv","flat","P10","pinch","4"
"shearx_P10_pinch_5_FLAT.csv","flat","P10","pinch","5"
"shearx_P10_pinch_6_FLAT.csv","flat","P10","pinch","6"
"shearx_P10_pinch_7_FLAT.csv","flat","P10","pinch","7"
"shearx_P10_poke_1_FLAT.csv","flat","P10","poke","1"
"shearx_P10_poke_2_FLAT.csv","flat","P10","poke","2"
"shearx_P10_poke_3_FLAT.csv","flat","P10","poke","3"
"shearx_P10_poke_4_FLAT.csv","flat","P10","poke","4"
"shearx_P10_poke_5_FLAT.csv","flat","P10","poke","5"
"shearx_P10_poke_6_FLAT.csv","flat","P10","poke","6"
"shearx_P10_poke_7_FLAT.csv","flat","P10","poke","7"
"shearx_P10_rub_1_FLAT.csv","flat","P10","rub","1"
"shearx_P10_rub_2_FLAT.csv","flat","P10","rub","2"
"shearx_P10_rub_3_FLAT.csv","flat","P10","rub","3"
"shearx_P10_rub_4_FLAT.csv","flat","P10","rub","4"
"shearx_P10_rub_5_FLAT.csv","flat","P10","rub","5"
"shearx_P10_rub_6_FLAT.csv","flat","P10","rub","6"
"shearx_P10_rub_7_FLAT.csv","flat","P10","rub","7"
"shearx_P10_rub_8_FLAT.csv","flat","P10","rub","8"
"shearx_P10_scratch_1_FLAT.csv","flat","P10","scratch","1"
"shearx_P10_scratch_2_FLAT.csv","flat","P10","scratch","2"
"shearx_P10_scratch_3_FLAT.csv","flat","P10","scratch","3"
"shearx_P10_scratch_4_FLAT.csv","flat","P10","scratch","4"
"shearx_P10_scratch_5_FLAT.csv","flat","P10","scratch","5"
"shearx_P10_scratch_6_FLAT.csv","flat","P10","scratch","6"
"shearx_P10_scratch_7_FLAT.csv","flat","P10","scratch","7"
"shearx_P10_scratch_8_FLAT.csv","flat","P10","scratch","8"
"shearx_P10_stroke_1_FLAT.csv","flat","P10","stroke","1"
"shearx_P10_stroke_2_FLAT.csv","flat","P10","stroke","2"
"shearx_P10_stroke_3_FLAT.csv","flat","P10","stroke","3"
"shearx_P10_stroke_4_FLAT.csv","flat","P10","stroke","4"
"shearx_P10_stroke_5_FLAT.csv","flat","P10","stroke","5"
"shearx_P10_stroke_6_FLAT.csv","flat","P10","stroke","6"
"shearx_P10_stroke_7_FLAT.csv","flat","P10","stroke","7"
"shearx_P10_stroke_8_FLAT.csv","flat","P10","stroke","8"
"shearx_P10_tap_1_FLAT.csv","flat","P10","tap","1"
"shearx_P10_tap_2_FLAT.csv","flat","P10","tap","2"
"shearx_P10_tap_3_FLAT.csv","flat","P10","tap","3"
"shearx_P10_tap_4_FLAT.csv","flat","P10","tap","4"
"shearx_P10_tap_5_FLAT.csv","flat","P10","tap","5"
"shearx_P10_tap_6_FLAT.csv","flat","P10","tap","6"
"shearx_P10_tap_7_FLAT.csv","flat","P10","tap","7"
"shearx_P10_tap_8_FLAT.csv","flat","P10","tap","8"
"shearx_P10_tickle_1_FLAT.csv","flat","P10","tickle","1"
"shearx_P10_tickle_2_FLAT.csv","flat","P10","tickle","2"
"shearx_P10_tickle_3_FLAT.csv","flat","P10","tickle","3"
"shearx_P10_tickle_4_FLAT.csv","flat","P10","tickle","4"
"shearx_P10_tickle_5_FLAT.csv","flat","P10","tickle","5"
"shearx_P10_tickle_6_FLAT.csv","flat","P10","tickle","6"
"shearx_P10_tickle_7_FLAT.csv","flat","P10","tickle","7"
"shearx_P10_tickle_8_FLAT.csv","flat","P10","tickle","8"
"shearx_P2_constant_1_FLAT.csv","flat","P2","constant","1"
"shearx_P2_constant_2_FLAT.csv","flat","P2","constant","2"
"shearx_P2_constant_3_FLAT.csv","flat","P2","constant","3"
"shearx_P2_constant_4_FLAT.csv","flat","P2","constant","4"
"shearx_P2_constant_5_FLAT.csv","flat","P2","constant","5"
"shearx_P2_constant_6_FLAT.csv","flat","P2","constant","6"
"shearx_P2_constant_7_FLAT.csv","flat","P2","constant","7"
"shearx_P2_freeplay_1_FLAT.csv","flat","P2","freeplay","1"
"shearx_P2_freeplay_2_FLAT.csv","flat","P2","freeplay","2"
"shearx_P2_freeplay_3_FLAT.csv","flat","P2","freeplay","3"
"shearx_P2_freeplay_4_FLAT.csv","flat","P2","freeplay","4"
"shearx_P2_freeplay_5_FLAT.csv","flat","P2","freeplay","5"
"shearx_P2_freeplay_6_FLAT.csv","flat","P2","freeplay","6"
"shearx_P2_freeplay_7_FLAT.csv","flat","P2","freeplay","7"
"shearx_P2_no_1_FLAT.csv","flat","P2","no","1"
"shearx_P2_no_2_FLAT.csv","flat","P2","no","2"
"shearx_P2_no_3_FLAT.csv","flat","P2","no","3"
"shearx_P2_no_4_FLAT.csv","flat","P2","no","4"
"shearx_P2_no_5_FLAT.csv","flat","P2","no","5"
"shearx_P2_no_6_FLAT.csv","flat","P2","no","6"
"shearx_P2_no_7_FLAT.csv","flat","P2","no","7"
"shearx_P2_pat_1_FLAT.csv","flat","P2","pat","1"
"shearx_P2_pat_2_FLAT.csv","flat","P2","pat","2"
"shearx_P2_pat_3_FLAT.csv","flat","P2","pat","3"
"shearx_P2_pat_4_FLAT.csv","flat","P2","pat","4"
"shearx_P2_pat_5_FLAT.csv","flat","P2","pat","5"
"shearx_P2_pat_6_FLAT.csv","flat","P2","pat","6"
"shearx_P2_pat_7_FLAT.csv","flat","P2","pat","7"
"shearx_P2_pinch_1_FLAT.csv","flat","P2","pinch","1"
"shearx_P2_pinch_2_FLAT.csv","flat","P2","pinch","2"
"shearx_P2_pinch_3_FLAT.csv","flat","P2","pinch","3"
"shearx_P2_pinch_4_FLAT.csv","flat","P2","pinch","4"
"shearx_P2_pinch_5_FLAT.csv","flat","P2","pinch","5"
"shearx_P2_pinch_6_FLAT.csv","flat","P2","pinch","6"
"shearx_P2_pinch_7_FLAT.csv","flat","P2","pinch","7"
"shearx_P2_poke_1_FLAT.csv","flat","P2","poke","1"
"shearx_P2_poke_2_FLAT.csv","flat","P2","poke","2"
"shearx_P2_poke_3_FLAT.csv","flat","P2","poke","3"
"shearx_P2_poke_4_FLAT.csv","flat","P2","poke","4"
"shearx_P2_poke_5_FLAT.csv","flat","P2","poke","5"
"shearx_P2_poke_6_FLAT.csv","flat","P2","poke","6"
"shearx_P2_poke_7_FLAT.csv","flat","P2","poke","7"
"shearx_P2_rub_1_FLAT.csv","flat","P2","rub","1"
"shearx_P2_rub_2_FLAT.csv","flat","P2","rub","2"
"shearx_P2_rub_3_FLAT.csv","flat","P2","rub","3"
"shearx_P2_rub_4_FLAT.csv","flat","P2","rub","4"
"shearx_P2_rub_5_FLAT.csv","flat","P2","rub","5"
"shearx_P2_rub_6_FLAT.csv","flat","P2","rub","6"
"shearx_P2_rub_7_FLAT.csv","flat","P2","rub","7"
"shearx_P2_scratch_1_FLAT.csv","flat","P2","scratch","1"
"shearx_P2_scratch_2_FLAT.csv","flat","P2","scratch","2"
"shearx_P2_scratch_3_FLAT.csv","flat","P2","scratch","3"
"shearx_P2_scratch_4_FLAT.csv","flat","P2","scratch","4"
"shearx_P2_scratch_5_FLAT.csv","flat","P2","scratch","5"
"shearx_P2_scratch_6_FLAT.csv","flat","P2","scratch","6"
"shearx_P2_scratch_7_FLAT.csv","flat","P2","scratch","7"
"shearx_P2_stroke_1_FLAT.csv","flat","P2","stroke","1"
"shearx_P2_stroke_2_FLAT.csv","flat","P2","stroke","2"
"shearx_P2_stroke_3_FLAT.csv","flat","P2","stroke","3"
"shearx_P2_stroke_4_FLAT.csv","flat","P2","stroke","4"
"shearx_P2_stroke_5_FLAT.csv","flat","P2","stroke","5"
"shearx_P2_stroke_6_FLAT.csv","flat","P2","stroke","6"
"shearx_P2_stroke_7_FLAT.csv","flat","P2","stroke","7"
"shearx_P2_tap_1_FLAT.csv","flat","P2","tap","1"
"shearx_P2_tap_2_FLAT.csv","flat","P2","tap","2"
"shearx_P2_tap_3_FLAT.csv","flat","P2","tap","3"
"shearx_P2_tap_4_FLAT.csv","flat","P2","tap","4"
"shearx_P2_tap_5_FLAT.csv","flat","P2","tap","5"
"shearx_P2_tap_6_FLAT.csv","flat","P2","tap","6"
"shearx_P2_tap_7_FLAT.csv","flat","P2","tap","7"
"shearx_P2_tickle_1_FLAT.csv","flat","P2","tickle","1"
"shearx_P2_tickle_2_FLAT.csv","flat","P2","tickle","2"
"shearx_P2_tickle_3_FLAT.csv","flat","P2","tickle","3"
"shearx_P2_tickle_4_FLAT.csv","flat","P2","tickle","4"
"shearx_P2_tickle_5_FLAT.csv","flat","P2","tickle","5"
"shearx_P2_tickle_6_FLAT.csv","flat","P2","tickle","6"
"shearx_P2_tickle_7_FLAT.csv","flat","P2","tickle","7"
"shearx_P3_constant_1_FLAT.csv","flat","P3","constant","1"
"shearx_P3_constant_2_FLAT.csv","flat","P3","constant","2"
"shearx_P3_constant_3_FLAT.csv","flat","P3","constant","3"
"shearx_P3_constant_4_FLAT.csv","flat","P3","constant","4"
"shearx_P3_constant_5_FLAT.csv","flat","P3","constant","5"
"shearx_P3_constant_6_FLAT.csv","flat","P3","constant","6"
"shearx_P3_constant_7_FLAT.csv","flat","P3","constant","7"
"shearx_P3_constant_8_FLAT.csv","flat","P3","constant","8"
"shearx_P3_freeplay_1_FLAT.csv","flat","P3","freeplay","1"
"shearx_P3_freeplay_2_FLAT.csv","flat","P3","freeplay","2"
"shearx_P3_freeplay_3_FLAT.csv","flat","P3","freeplay","3"
"shearx_P3_freeplay_4_FLAT.csv","flat","P3","freeplay","4"
"shearx_P3_freeplay_5_FLAT.csv","flat","P3","freeplay","5"
"shearx_P3_freeplay_6_FLAT.csv","flat","P3","freeplay","6"
"shearx_P3_freeplay_7_FLAT.csv","flat","P3","freeplay","7"
"shearx_P3_freeplay_8_FLAT.csv","flat","P3","freeplay","8"
"shearx_P3_no_1_FLAT.csv","flat","P3","no","1"
"shearx_P3_no_2_FLAT.csv","flat","P3","no","2"
"shearx_P3_no_3_FLAT.csv","flat","P3","no","3"
"shearx_P3_no_4_FLAT.csv","flat","P3","no","4"
"shearx_P3_no_5_FLAT.csv","flat","P3","no","5"
"shearx_P3_no_6_FLAT.csv","flat","P3","no","6"
"shearx_P3_no_7_FLAT.csv","flat","P3","no","7"
"shearx_P3_no_8_FLAT.csv","flat","P3","no","8"
"shearx_P3_pat_1_FLAT.csv","flat","P3","pat","1"
"shearx_P3_pat_2_FLAT.csv","flat","P3","pat","2"
"shearx_P3_pat_3_FLAT.csv","flat","P3","pat","3"
"shearx_P3_pat_4_FLAT.csv","flat","P3","pat","4"
"shearx_P3_pat_5_FLAT.csv","flat","P3","pat","5"
"shearx_P3_pat_6_FLAT.csv","flat","P3","pat","6"
"shearx_P3_pat_7_FLAT.csv","flat","P3","pat","7"
"shearx_P3_pat_8_FLAT.csv","flat","P3","pat","8"
"shearx_P3_pinch_1_FLAT.csv","flat","P3","pinch","1"
"shearx_P3_pinch_2_FLAT.csv","flat","P3","pinch","2"
"shearx_P3_pinch_3_FLAT.csv","flat","P3","pinch","3"
"shearx_P3_pinch_4_FLAT.csv","flat","P3","pinch","4"
"shearx_P3_pinch_5_FLAT.csv","flat","P3","pinch","5"
"shearx_P3_pinch_6_FLAT.csv","flat","P3","pinch","6"
"shearx_P3_pinch_7_FLAT.csv","flat","P3","pinch","7"
"shearx_P3_pinch_8_FLAT.csv","flat","P3","pinch","8"
"shearx_P3_poke_1_FLAT.csv","flat","P3","poke","1"
"shearx_P3_poke_2_FLAT.csv","flat","P3","poke","2"
"shearx_P3_poke_3_FLAT.csv","flat","P3","poke","3"
"shearx_P3_poke_4_FLAT.csv","flat","P3","poke","4"
"shearx_P3_poke_5_FLAT.csv","flat","P3","poke","5"
"shearx_P3_poke_6_FLAT.csv","flat","P3","poke","6"
"shearx_P3_poke_7_FLAT.csv","flat","P3","poke","7"
"shearx_P3_rub_1_FLAT.csv","flat","P3","rub","1"
"shearx_P3_rub_2_FLAT.csv","flat","P3","rub","2"
"shearx_P3_rub_3_FLAT.csv","flat","P3","rub","3"
"shearx_P3_rub_4_FLAT.csv","flat","P3","rub","4"
"shearx_P3_rub_5_FLAT.csv","flat","P3","rub","5"
"shearx_P3_rub_6_FLAT.csv","flat","P3","rub","6"
"shearx_P3_rub_7_FLAT.csv","flat","P3","rub","7"
"shearx_P3_rub_8_FLAT.csv","flat","P3","rub","8"
"shearx_P3_scratch_1_FLAT.csv","flat","P3","scratch","1"
"shearx_P3_scratch_2_FLAT.csv","flat","P3","scratch","2"
"shearx_P3_scratch_3_FLAT.csv","flat","P3","scratch","3"
"shearx_P3_scratch_4_FLAT.csv","flat","P3","scratch","4"
"shearx_P3_scratch_5_FLAT.csv","flat","P3","scratch","5"
"shearx_P3_scratch_6_FLAT.csv","flat","P3","scratch","6"
"shearx_P3_scratch_7_FLAT.csv","flat","P3","scratch","7"
"shearx_P3_stroke_1_FLAT.csv","flat","P3","stroke","1"
"shearx_P3_stroke_2_FLAT.csv","flat","P3","stroke","2"
"shearx_P3_stroke_3_FLAT.csv","flat","P3","stroke","3"
"shearx_P3_stroke_4_FLAT.csv","flat","P3","stroke","4"
"shearx_P3_stroke_5_FLAT.csv","flat","P3","stroke","5"
"shearx_P3_stroke_6_FLAT.csv","flat","P3","stroke","6"
"shearx_P3_stroke_7_FLAT.csv","flat","P3","stroke","7"
"shearx_P3_stroke_8_FLAT.csv","flat","P3","stroke","8"
"shearx_P3_tap_1_FLAT.csv","flat","P3","tap","1"
"shearx_P3_tap_2_FLAT.csv","flat","P3","tap","2"
"shearx_P3_tap_3_FLAT.csv","flat","P3","tap","3"
"shearx_P3_tap_4_FLAT.csv","flat","P3","tap","4"
"shearx_P3_tap_5_FLAT.csv","flat","P3","tap","5"
"shearx_P3_tap_6_FLAT.csv","flat","P3","tap","6"
"shearx_P3_tap_7_FLAT.csv","flat","P3","tap","7"
"shearx_P3_tap_8_FLAT.csv","flat","P3","tap","8"
"shearx_P3_tickle_1_FLAT.csv","flat","P3","tickle","1"
"shearx_P3_tickle_2_FLAT.csv","flat","P3","tickle","2"
"shearx_P3_tickle_3_FLAT.csv","flat","P3","tickle","3"
"shearx_P3_tickle_4_FLAT.csv","flat","P3","tickle","4"
"shearx_P3_tickle_5_FLAT.csv","flat","P3","tickle","5"
"shearx_P3_tickle_6_FLAT.csv","flat","P3","tickle","6"
"shearx_P3_tickle_7_FLAT.csv","flat","P3","tickle","7"
"shearx_P3_tickle_8_FLAT.csv","flat","P3","tickle","8"
"shearx_P4_constant_1_FLAT.csv","flat","P4","constant","1"
"shearx_P4_constant_2_FLAT.csv","flat","P4","constant","2"
"shearx_P4_constant_3_FLAT.csv","flat","P4","constant","3"
"shearx_P4_constant_4_FLAT.csv","flat","P4","constant","4"
"shearx_P4_constant_5_FLAT.csv","flat","P4","constant","5"
"shearx_P4_constant_6_FLAT.csv","flat","P4","constant","6"
"shearx_P4_constant_7_FLAT.csv","flat","P4","constant","7"
"shearx_P4_freeplay_1_FLAT.csv","flat","P4","freeplay","1"
"shearx_P4_freeplay_2_FLAT.csv","flat","P4","freeplay","2"
"shearx_P4_freeplay_3_FLAT.csv","flat","P4","freeplay","3"
"shearx_P4_freeplay_4_FLAT.csv","flat","P4","freeplay","4"
"shearx_P4_freeplay_5_FLAT.csv","flat","P4","freeplay","5"
"shearx_P4_freeplay_6_FLAT.csv","flat","P4","freeplay","6"
"shearx_P4_freeplay_7_FLAT.csv","flat","P4","freeplay","7"
"shearx_P4_freeplay_8_FLAT.csv","flat","P4","freeplay","8"
"shearx_P4_no_1_FLAT.csv","flat","P4","no","1"
"shearx_P4_no_2_FLAT.csv","flat","P4","no","2"
"shearx_P4_no_3_FLAT.csv","flat","P4","no","3"
"shearx_P4_no_4_FLAT.csv","flat","P4","no","4"
"shearx_P4_no_5_FLAT.csv","flat","P4","no","5"
"shearx_P4_no_6_FLAT.csv","flat","P4","no","6"
"shearx_P4_no_7_FLAT.csv","flat","P4","no","7"
"shearx_P4_no_8_FLAT.csv","flat","P4","no","8"
"shearx_P4_pat_1_FLAT.csv","flat","P4","pat","1"
"shearx_P4_pat_2_FLAT.csv","flat","P4","pat","2"
"shearx_P4_pat_3_FLAT.csv","flat","P4","pat","3"
"shearx_P4_pat_4_FLAT.csv","flat","P4","pat","4"
"shearx_P4_pat_5_FLAT.csv","flat","P4","pat","5"
"shearx_P4_pat_6_FLAT.csv","flat","P4","pat","6"
"shearx_P4_pat_7_FLAT.csv","flat","P4","pat","7"
"shearx_P4_pat_8_FLAT.csv","flat","P4","pat","8"
"shearx_P4_pinch_1_FLAT.csv","flat","P4","pinch","1"
"shearx_P4_pinch_2_FLAT.csv","flat","P4","pinch","2"
"shearx_P4_pinch_3_FLAT.csv","flat","P4","pinch","3"
"shearx_P4_pinch_4_FLAT.csv","flat","P4","pinch","4"
"shearx_P4_pinch_5_FLAT.csv","flat","P4","pinch","5"
"shearx_P4_pinch_6_FLAT.csv","flat","P4","pinch","6"
"shearx_P4_pinch_7_FLAT.csv","flat","P4","pinch","7"
"shearx_P4_poke_1_FLAT.csv","flat","P4","poke","1"
"shearx_P4_poke_2_FLAT.csv","flat","P4","poke","2"
"shearx_P4_poke_3_FLAT.csv","flat","P4","poke","3"
