max,min,mean,median,var,totalvar,auc,Xmax,Xmin,Xmean,Xmedian,Xvar,Xtotalvar,Xauc,Ymax,Ymin,Ymean,Ymedian,Yvar,Ytotalvar,Yauc,subject,filecount,gesture
7172,101,1135.55,417,2539310.225,97221,90844,5.633663366,2.340836013,4.079522323,4.095763816,0.3106003128,47.42224983,326.3617858,5.451536643,1.247524752,2.963956809,2.74405632,0.8664163238,86.70004537,237.1165448,1,1,constant
7418,166,1059.4625,380,2688995.214,97831,84757,5.171597633,2.944709247,4.030642501,4.06945578,0.2216408983,39.42807635,322.4514001,5.141162515,1.409601634,2.966247002,2.758105435,0.8335657811,74.16182063,237.2997602,1,1,constant
7384,142,1243.225,439,3301487.291,133653,99458,5.337837838,2.981605351,4.110462694,4.081396007,0.213573804,39.48159052,328.8370155,5.043573944,1.292145594,2.983459312,2.864545066,0.7313414218,76.8645707,238.676745,1,1,constant
7454,134,1299.5125,442,3397034.937,113276,103961,5.219354839,2.699891658,4.033622771,4.056392236,0.1940034395,37.8277697,322.6898217,4.792581602,1.457391304,2.993224341,2.858910211,0.6441286547,70.94188536,239.4579473,1,1,constant
7101,41,715.4875,188.5,2044625.063,72052,57239,5.56097561,1.88172043,3.950279947,3.979937748,0.3846205339,54.88835695,316.0223958,5.472775564,1.087053571,3.158170046,3.101090781,0.7411613964,78.14311812,252.6536037,1,2,constant
7043,57,1133.1125,262.5,3903346.557,105218,90649,4.958762887,2.299874529,3.851675574,3.849943147,0.3202206744,48.90941458,308.134046,5.734668335,1.147121535,3.219711945,3.215106732,0.9987060007,81.69989031,257.5769556,1,2,constant
7164,37,1114.2375,258.5,3588805.171,103852,89139,5.142857143,2.037735849,3.850562689,3.888507719,0.3654301137,53.22330164,308.0450151,5.63356428,1.168362627,3.207805206,3.132863014,1.138108571,98.60679732,256.6244165,1,2,constant
7086,31,485.95,162.5,772754.5038,52454,38876,5.350877193,1.975124378,3.882572929,3.881507382,0.3230400441,50.52950201,310.6058343,5.313868613,1.121245829,3.204837962,3.220398497,0.9992702055,89.12176735,256.387037,1,2,constant
6041,101,568.4125,335,512587.9922,45961,45473,4.956140351,2.514188422,4.036751187,4.098141696,0.2122828394,42.01363577,322.9400949,5.604534005,1.197502838,3.234896935,3.14218107,0.620666068,73.31045794,258.7917548,1,3,constant
4958,74,587.4625,290,505509.1125,51935,46997,5.275862069,2.256345178,3.986134569,4.050916731,0.3305928202,49.31687224,318.8907655,5.296866975,1.295454545,3.224493675,3.127909673,0.6637189312,72.4202324,257.959494,1,3,constant
6235,77,679.125,303,1000690.364,60827,54330,5.078502415,2.697819315,4.038169208,4.035372005,0.2715799692,49.60863745,323.0535366,5.462414579,1.193884642,3.291812017,3.168452875,0.7564213227,78.03687273,263.3449613,1,3,constant
