max,min,mean,median,var,totalvar,auc,Xmax,Xmin,Xmean,Xmedian,Xvar,Xtotalvar,Xauc,Ymax,Ymin,Ymean,Ymedian,Yvar,Ytotalvar,Yauc,subject,filecount,gesture
7594,182,1024.65,429,2294795.825,97978,81972,4.879699248,2.410810811,3.903337685,3.912507608,0.2264327809,42.97821487,312.2670148,5.494797688,1.251533742,3.328553571,3.231432256,0.7418361448,71.76084646,266.2842857,2,1,constant
7506,112,1317.05,459,4170440.099,103359,105364,4.991525424,2.48018648,4.017754257,4.073477145,0.2166030176,41.87081176,321.4203406,5.190789474,1.324009324,3.232272859,3.234376726,0.6149578572,74.30781656,258.5818287,2,1,constant
7438,118,952.1875,363.5,2101900.914,94580,76175,5.659090909,2.937924345,3.991670934,4.06130752,0.259025804,37.67652016,319.3336747,5.287740628,1.364016736,3.232592297,3.210713395,0.6782583815,70.41534792,258.6073838,2,1,constant
7531,109,1258.1375,377,3856456.145,138752,100651,5.446043165,2.488286067,3.898861004,3.831178902,0.2056511874,40.82111679,311.9088804,5.498482089,1.335746606,3.233442368,3.240917238,0.7551954115,72.17341878,258.6753895,2,1,constant
7238,105,1127.65,337,3318679.927,113228,90212,5.18705036,2.266325224,3.867071305,3.796296296,0.259849635,41.50659919,309.3657044,5.574095683,1.501106195,3.838487423,3.928798559,0.8213173057,81.87404921,307.0789938,2,2,constant
7465,78,1107.9625,321,3195161.176,109304,88637,5.307692308,1.556962025,3.861185773,3.862561837,0.3920308016,50.7718275,308.8948618,5.707100592,1.696239151,4.029566553,4.173186611,0.8470074957,86.62766744,322.3653242,2,2,constant
7244,126,1001.5,322,2712575.924,83325,80120,4.894179894,2.253826531,3.896023595,3.820475463,0.2563415111,42.67043674,311.6818876,5.633742331,1.362244898,3.968955137,4.049014709,0.926892579,86.64095503,317.5164109,2,2,constant
7525,86,1290.925,368.5,4106754.501,124728,103274,5.324324324,2.473029046,3.950715755,3.961563391,0.3088038443,44.51270189,316.0572604,5.654527559,1.335680751,4.017671537,4.23747528,0.8581029832,87.15099525,321.413723,2,2,constant
6815,87,1428.475,303.5,4433331.645,137935,114278,5.865979381,2.897491821,4.497889025,4.493114754,0.629109297,70.17767109,359.831122,5.786096257,1.69441402,4.359149094,4.606315659,0.8405397312,82.50467042,348.7319275,2,3,constant
6896,142,1703.65,341,5130734.306,179918,136292,5.88028169,2.62195122,4.646061973,4.773697593,0.7720218422,78.69379997,371.6849579,5.83908046,1.522597072,4.270081327,4.533743248,0.9322682715,91.06439202,341.6065061,2,3,constant
