"max","min","mean","median","var","totalvar","auc","Xmax","Xmin","Xmean","Xmedian","Xvar","Xtotalvar","Xauc","Ymax","Ymin","Ymean","Ymedian","Yvar","Ytotalvar","Yauc","subcondition","subject","filecount","gesture"
"4661","4442","4560.8625","4562.5","1935.58844936709","3672","364869","3.5376437405077","3.46013215859031","3.49793248459246","3.49884979978459","0.000272347128070544","1.54268957359234","279.834598767397","3.53407079646018","3.45928836498581","3.49840589629917","3.49890974133881","0.000261679173157712","1.36877046535031","279.872471703934","flat","1","-1","constant"
"4664","4460","4556.95","4556.5","1768.75696202532","3671","364556","3.52968136185072","3.44994450610433","3.49762559417759","3.49988903683977","0.000297678660982643","1.40446056910915","279.810047534207","3.54575378538512","3.45940594059406","3.50024603588666","3.5011419666948","0.000256192761497372","1.52033212471517","280.019682870933","flat","1","-1","constant"
"4655","4473","4555.925","4553","1596.17151898734","3073","364474","3.54908700322234","3.44085068675233","3.49570790128644","3.49647135396715","0.000283060351438579","1.32333072185642","279.656632102915","3.53649310191366","3.46175824175824","3.49998527818231","3.50148086700459","0.000248183821319902","1.4249537049439","279.998822254585","flat","1","-1","constant"
"4671","4442","4564.8375","4565","1888.61882911392","3679","365187","3.53683747525841","3.46250829462508","3.49828702297933","3.49852465888382","0.000248797631397134","1.4018988140312","279.862961838346","3.53894642053129","3.46290672451193","3.49833485164697","3.49791653258924","0.000248954131353708","1.38811754827037","279.866788131757","flat","1","-1","constant"
"4631","4473","4560.325","4564.5","1193.69050632911","3592","364826","3.53046516706705","3.45605596851771","3.49357584270993","3.49290036053543","0.000249149253637524","1.25706295669253","279.486067416794","3.52948885976409","3.46017116524029","3.49748229584817","3.49698709242843","0.00023976530251609","1.52366270257088","279.798583667853","flat","1","-1","constant"
"4689","4460","4556.8375","4555","1686.16313291139","3622","364547","3.54677525863967","3.45803886925795","3.49518588188872","3.49563842220387","0.000300598332111774","1.48492571797311","279.614870551097","3.54626605704333","3.46114902047105","3.49812306483368","3.49678582860025","0.000304290370152928","1.50156732483976","279.849845186695","flat","1","-1","constant"
"4631","4431","4554.7375","4558.5","1606.01882911392","4103","364379","3.54412740544127","3.44719544259422","3.49292650924621","3.49239910772102","0.00029276664279511","1.55994021161532","279.434120739697","3.53949652777778","3.45430463576159","3.49553957915588","3.49546605561234","0.000255997172256239","1.29802431845117","279.643166332471","flat","1","-1","constant"
"4646","4458","4548.3375","4547","1687.82136075949","4005","363867","3.5382096069869","3.45527369826435","3.4933018937236","3.49229470412454","0.000352330473763791","1.64873297331658","279.464151497888","3.52761946514687","3.46843352725706","3.49681557025607","3.49562551667126","0.000175384663886569","1.15110780068099","279.745245620485","flat","1","-1","constant"
"4706","4509","4588.675","4585","1422.85506329114","3703","367094","3.54838008262666","3.46999781802313","3.50841269966397","3.50774636410423","0.000235615598510034","1.19739019613237","280.673015973118","3.52830188679245","3.4619541720709","3.49238897688135","3.49204391379905","0.000180324671227139","1.19656081561437","279.391118150508","flat","1","-1","constant"
"4686","4472","4589.1","4595.5","1752.69873417722","3280","367128","3.54748358862144","3.45517841601393","3.50656143623673","3.50480985334507","0.000252940486197225","1.28565436723449","280.524914898938","3.52943800178412","3.45929339477727","3.4954760739594","3.49439652196515","0.000262105855940317","1.35596322283061","279.638085916752","flat","1","-1","constant"
"4745","4458","4595.075","4596","2651.18417721519","4024","367606","3.5515587529976","3.47517421602787","3.51070129282519","3.50992220251058","0.000271389614516582","1.53336838662997","280.856103426015","3.5284859232986","3.45134485020774","3.49335880007848","3.49496656017907","0.000270087643597146","1.46064493450575","279.468704006278","flat","1","-1","constant"
"4723","4441","4581.4125","4580.5","2183.35933544304","3867","366513","3.54789439231944","3.46235857267189","3.50619387905643","3.50633936424528","0.000314602867050486","1.475414210473","280.495510324514","3.53093898745132","3.46919330933729","3.49387575994034","3.49529302498553","0.000203612618687365","1.20805064340694","279.510060795227","flat","1","-1","constant"
"4662","4439","4549.4625","4553","1602.73275316456","3536","363957","3.52046913033857","3.45141478394385","3.49156448933073","3.49095452437616","0.000286530494382421","1.60293391343329","279.325159146458","3.53350683148992","3.46542669584245","3.49931861290802","3.49764691603637","0.00025441566696857","1.46357715187934","279.945489032641","flat","1","-1","constant"
"4631","4424","4540.775","4548.5","2414.25253164557","4880","363262","3.52712659075687","3.44274977895668","3.48978640833335","3.48899553151055","0.000263810907246704","1.54397092993394","279.182912666668","3.54729579345649","3.46865542585387","3.50163058591475","3.50022133536469","0.000307533528599669","1.79729363960409","280.13044687318","flat","1","-1","constant"
"4662","4462","4539.975","4536.5","1905.21455696203","3490","363198","3.5299330019451","3.44799649660609","3.49096075682028","3.49095079753714","0.000295797628079605","1.41094750479902","279.276860545622","3.53974162469893","3.4558919625354","3.50029116859868","3.50076689957262","0.000205261976822456","1.31535035336681","280.023293487894","flat","1","-1","constant"
"4682","4399","4537.75","4529","2777.07594936709","4729","363020","3.53266550522648","3.46089700247915","3.49140560851466","3.49172652989305","0.000202516612416783","1.39542092511815","279.312448681173","3.54714887952075","3.45809565598947","3.4962009418098","3.49658463404746","0.000317022055997546","1.52180787693395","279.696075344784","flat","1","-1","constant"
"4664","4472","4581.1875","4578.5","1947.26819620253","4407","366495","3.54213727193745","3.45190805623745","3.5005851482154","3.5008726755407","0.000262498610962568","1.60141350564794","280.046811857232","3.53098901098901","3.46542139203914","3.50021663657346","3.50257267738105","0.000188976084038789","1.22236497021757","280.017330925877","flat","1","-1","constant"
"4678","4466","4578.4","4582","2374.57215189873","4649","366272","3.54583151462244","3.46325948672955","3.50003321275124","3.50135786526752","0.000236841062205347","1.42704350815009","280.002657020099","3.53298268682884","3.47029049295775","3.50225915658705","3.50463301146886","0.000189946471182787","1.16700040752229","280.180732526964","flat","1","-1","constant"
"4640","4466","4569.625","4574.5","1662.18670886076","3604","365570","3.56202418271384","3.46955958549223","3.50160653874819","3.49828896168662","0.000330738948532482","1.44423547091042","280.128523099855","3.54580981328702","3.46915195116634","3.50021943168512","3.49967119684349","0.000245397521663662","1.35786561778561","280.017554534809","flat","1","-1","constant"
"4661","4467","4564.4125","4566.5","2184.01756329114","3950","365153","3.54028230184582","3.46546809910107","3.49947973301867","3.49832957754905","0.000244342964865587","1.33117648156307","279.958378641493","3.5431638913234","3.46111719605695","3.50134960543822","3.50098187911903","0.000204860689500689","1.17273818562518","280.107968435058","flat","1","-1","constant"
"4724","4469","4604.9625","4609.5","1952.56819620253","3934","368397","3.54666666666667","3.47656081227047","3.50679522888861","3.50642787858242","0.000196779685043043","1.19571675357712","280.543618311088","3.5333187677518","3.44586124918954","3.49187414293998","3.4908146055311","0.000231822495674219","1.23599959665444","279.349931435199","flat","1","-1","constant"
"4708","4500","4599.6375","4597.5","1684.81629746835","3530","367971","3.54207650273224","3.46715643906655","3.50628391299514","3.50699155422693","0.000252289028319938","1.30807115207884","280.502713039611","3.52965637995185","3.45281782437746","3.49153742935684","3.49090090666871","0.000250016032463677","1.40438455474039","279.322994348547","flat","1","-1","constant"
"4718","4486","4588.025","4591","2179.59430379747","3999","367042","3.5461811722913","3.45851818988465","3.50757816175733","3.50828867781384","0.00027822667581","1.41107054635426","280.606252940586","3.55362946912243","3.45160580730312","3.49431567830675","3.49414351170503","0.000280372900397181","1.49485802549651","279.54525426454","flat","1","-1","constant"
"4706","4466","4590.8","4592","1889.02278481013","3687","367264","3.54959668628733","3.45716727195044","3.50561996903645","3.50271757939788","0.000329100486750015","1.62437094355129","280.449597522916","3.53614457831325","3.44764795144158","3.494161982511","3.49552220037496","0.000283169630612781","1.33716035615526","279.53295860088","flat","1","-1","constant"
"4659","4452","4560.9375","4560","1578.03401898734","3710","364875","3.53175293605916","3.45337344220026","3.49429204646876","3.49420584554924","0.000259452571797777","1.35333987191592","279.543363717501","3.54049878613993","3.45606422217401","3.4937131196866","3.4933710313089","0.000337033699047809","1.71204545307826","279.497049574928","flat","1","-1","constant"
"4662","4450","4570.6375","4577.5","1763.62642405063","3599","365651","3.52451088151242","3.46002166847237","3.49449221010866","3.49368536598581","0.000220136006206561","1.15507898538783","279.559376808693","3.53308086433504","3.44743816254417","3.49584235242737","3.49557646490549","0.000302112890771897","1.50255237579226","279.667388194189","flat","1","-1","constant"
"4680","4491","4569.0875","4573.5","1696.94161392405","3523","365527","3.52896174863388","3.45636998254799","3.48945345978969","3.49231709570109","0.000263951770039212","1.39331700342224","279.156276783175","3.52337488869101","3.44732824427481","3.49235705502491","3.49419550640368","0.000276569724586471","1.40525524243172","279.388564401993","flat","1","-1","constant"
