"maxR","minR","meanR","medianR","varR","totalvarR","aucR","maxTheta","minTheta","meanTheta","medianTheta","varTheta","totalvarTheta","aucTheta","subconditionV","subjectV","filecountV","gestureV"
"6580.91984452022","-1","6390.12718452001","6471.82218471223","526049.091805963","11019.330439159","511210.174761601","0.802611542623429","-1","0.766255359588772","0.787412626883167","0.040033612113375","2.35033057825808","61.3004287671017","flat","P1","1","constant"
"6575.43800822424","6378.25383627839","6467.70358478226","6463.21607155371","2160.90065283429","4084.78043984312","517416.286782581","0.802734961140094","0.776040294979087","0.788909433443882","0.78927598680402","4.04227516143915e-05","0.631833967090627","63.1127546755106","flat","P1","1","constant"
"6588.26449074413","6298.35764306855","6464.97881301154","6465.42967919352","2093.83272084524","3883.39700061508","517198.305040924","0.801346651572739","0.770297538478168","0.788923680385153","0.789306039194867","4.78604713651481e-05","0.591676194912091","63.1138944308122","flat","P1","1","constant"
"6567.60915402249","6350.54682684885","6478.04942647546","6473.17843072459","1849.29431992142","3881.59098067483","518243.954118037","0.806196897266612","0.764700833060624","0.788542380252601","0.788487862795334","6.08586107414712e-05","0.691863707713385","63.0833904202081","flat","P1","1","constant"
"6545.01474406284","-1","6376.34876337824","6459.84608335893","523302.314192259","10673.268381118","510107.901070259","0.802571838570691","-1","0.764174432199972","0.786333069675865","0.0399406882099917","2.39712645468583","61.1339545759978","flat","P1","2","constant"
"6566.20590600082","6318.9722265571","6450.66306677187","6448.54777245993","2064.51795983927","3705.20210475392","516053.04534175","0.805072056672056","0.76638491643623","0.786130191967094","0.785947484149816","4.44063914722229e-05","0.575967885995963","62.8904153573675","flat","P1","2","constant"
"6554.90564386704","6307.96322119906","6450.2615233135","6458.75441562051","2699.94264447277","5120.75065859298","516020.92186508","0.80504605269801","0.768569920404439","0.787039096993302","0.78627948914544","5.49517646390952e-05","0.669719277533484","62.9631277594642","flat","P1","2","constant"
"6553.84711448169","6335.04262021969","6453.74557455196","6453.52278136458","2176.32552004106","4123.47099625529","516299.645964156","0.805664918109477","0.769991230464974","0.788584197277763","0.78951336650456","5.33420759655936e-05","0.672065331232441","63.086735782221","flat","P1","2","constant"
"6609.4868938519","-1","6394.9952142882","6478.05221498238","525925.161246548","10129.0786983243","511599.617143056","0.797506222256255","-1","0.760992866333892","0.783108142627057","0.0397925376904102","2.44588195457189","60.8794293067114","flat","P1","3","constant"
"6607.34197692234","6287.70101070336","6481.21911922143","6482.82422066308","2425.28216568717","3703.18981000643","518497.529537714","0.796702029739397","0.770074941554795","0.784298179180636","0.783875914229837","4.08857262942224e-05","0.540842502094582","62.7438543344509","flat","P1","3","constant"
"6585.99635590546","6391.41330223606","6487.94453308828","6485.24821163217","2034.5296910255","4072.93473554253","519035.562647062","0.802594953664881","0.761890846382778","0.783190436034043","0.783480818236375","6.16018742890587e-05","0.625246009554041","62.6552348827234","flat","P1","3","constant"
"6588.13759722731","6359.03208043488","6477.9651596656","6475.6964477567","2200.45838854008","4074.56444274746","518237.212773248","0.802711036499602","0.760335588057464","0.785266620874426","0.784800606595729","5.27365973647179e-05","0.649849956191822","62.8213296699541","flat","P1","3","constant"
"6536.73986020554","-1","6375.97887578338","6460.29944971297","522670.848672475","9956.30909265418","510078.310062671","0.799305929417485","-1","0.766382395447787","0.78875142538446","0.0400311143968692","2.31345653221325","61.3105916358229","flat","P1","4","constant"
"6570.79028732465","6311.6376638714","6451.1030232697","6459.68288393803","2210.99560565664","4866.34797781229","516088.241861576","0.80802467193915","0.771983529369772","0.790215867401533","0.789771769891494","5.69342190801232e-05","0.60321634251968","63.2172693921227","flat","P1","4","constant"
